Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
1348,100,0,1,100,100,0,0,101,297,100,100,0.0303471442,6.1992499576,100.0000000000,15.9202409425,1.0000000000,0.8808000000,227.0663033606
1349,100,0,1,100,100,0,0,101,297,100,100,0.0326011713,6.1666487863,100.0000000000,15.9203111916,1.0000000000,0.8808000000,227.0663033606
1350,100,0,1,100,100,0,0,101,297,100,100,0.0296668044,6.1369819818,100.0000000000,15.9201922231,1.0000000000,0.8808000000,227.0663033606
1351,100,0,1,100,100,0,0,101,297,100,100,0.0305288906,6.1064530912,100.0000000000,15.9202306793,1.0000000000,0.8808000000,227.0663033606
1352,100,0,1,100,100,0,0,101,297,100,100,0.0311420040,6.0753110872,100.0000000000,15.9202550981,1.0000000000,0.8808000000,227.0663033606
1353,100,0,1,100,100,0,0,101,297,100,100,0.0317940000,6.0435170872,100.0000000000,15.9202739056,1.0000000000,0.8808000000,227.0663033606
1354,100,0,1,100,100,0,0,101,297,100,100,0.0382147087,6.0053023784,100.0000000000,15.9204120122,1.0000000000,0.8808000000,227.0663033606
1355,100,0,1,100,100,0,0,101,297,100,100,0.0336852790,5.9716170994,100.0000000000,15.9203315524,1.0000000000,0.8808000000,227.0663033606
1356,100,0,1,100,100,0,0,101,297,100,100,0.0409443028,5.9306727967,100.0000000000,15.9204332012,1.0000000000,0.8808000000,227.0663033606
1357,100,0,1,100,100,0,0,101,297,100,100,0.0332576261,5.8974151706,100.0000000000,15.9203258405,1.0000000000,0.8808000000,227.0663033606
1358,100,0,1,100,100,0,0,101,297,100,100,0.0314289543,5.8659862163,100.0000000000,15.9202794770,1.0000000000,0.8808000000,227.0663033606
1359,100,0,1,100,100,0,0,101,297,100,100,0.0332059040,5.8327803123,100.0000000000,15.9203305035,1.0000000000,0.8808000000,227.0663033606
1360,100,0,1,100,100,0,0,101,297,100,100,0.0305056688,5.8022746435,100.0000000000,15.9202290844,1.0000000000,0.8808000000,227.0663033606
1361,100,0,1,100,100,0,0,101,297,100,100,0.0336852790,5.7685893645,100.0000000000,15.9203315524,1.0000000000,0.8808000000,227.0663033606
1362,100,0,1,100,100,0,0,101,297,100,100,0.0357840860,5.7328052785,100.0000000000,15.9203703423,1.0000000000,0.8808000000,227.0663033606
1363,100,0,1,100,100,0,0,101,297,100,100,0.0348369491,5.6979683294,100.0000000000,15.9203586500,1.0000000000,0.8808000000,227.0663033606
1364,100,0,1,100,100,0,0,101,297,100,100,0.0312478376,5.6667204918,100.0000000000,15.9202577468,1.0000000000,0.8808000000,227.0663033606
1365,100,0,1,100,100,0,0,101,297,100,100,0.0294876863,5.6372328055,100.0000000000,15.9201971859,1.0000000000,0.8808000000,227.0663033606
1366,100,0,1,100,100,0,0,101,297,100,100,0.0378110374,5.5994217681,100.0000000000,15.9204074963,1.0000000000,0.8808000000,227.0663033606
1367,100,0,2,100,100,0,0,102,394,100,100,0.0306220739,5.5687996942,50.0000000000,15.8402365185,1.0000000000,0.8816000000,226.8602540835
1368,100,0,1,100,100,0,0,101,297,100,100,0.0345033288,5.5342963654,100.0000000000,15.9203559097,1.0000000000,0.8808000000,227.0663033606
1369,100,0,1,100,100,0,0,101,297,100,100,0.0307089207,5.5035874447,100.0000000000,15.9202510296,1.0000000000,0.8808000000,227.0663033606
1370,100,0,1,100,100,0,0,101,297,100,100,0.0302473798,5.4733400649,100.0000000000,15.9202360582,1.0000000000,0.8808000000,227.0663033606
1371,100,0,1,100,100,0,0,101,297,100,100,0.0344235437,5.4389165212,100.0000000000,15.9203457279,1.0000000000,0.8808000000,227.0663033606
1372,100,0,1,100,100,0,0,101,297,100,100,0.0298632279,5.4090532933,100.0000000000,15.9202106196,1.0000000000,0.8808000000,227.0663033606
1373,100,0,1,100,100,0,0,101,297,100,100,0.0296112512,5.3794420421,100.0000000000,15.9202055138,1.0000000000,0.8808000000,227.0663033606
1374,100,0,1,100,100,0,0,101,297,100,100,0.0332801781,5.3461618641,100.0000000000,15.9203342846,1.0000000000,0.8808000000,227.0663033606
1375,100,0,1,100,100,0,0,101,297,100,100,0.0326461093,5.3135157547,100.0000000000,15.9202996803,1.0000000000,0.8808000000,227.0663033606
1376,100,0,2,100,100,0,0,102,394,100,100,0.0289510983,5.2845646565,50.0000000000,15.8401816078,1.0000000000,0.8816000000,226.8602540835
1377,100,0,1,100,100,0,0,101,297,100,100,0.0352258135,5.2493388430,100.0000000000,15.9203581559,1.0000000000,0.8808000000,227.0663033606
1378,100,0,2,100,100,0,0,102,394,100,100,0.0321001919,5.2172386511,50.0000000000,15.8402582267,1.0000000000,0.8816000000,226.8602540835
1379,100,0,1,100,100,0,0,101,297,100,100,0.0345692071,5.1826694440,100.0000000000,15.9203388079,1.0000000000,0.8808000000,227.0663033606
1380,100,0,1,100,100,0,0,101,297,100,100,0.0310471362,5.1516223078,100.0000000000,15.9202672249,1.0000000000,0.8808000000,227.0663033606
1381,100,0,1,100,100,0,0,101,297,100,100,0.0302017213,5.1214205865,100.0000000000,15.9202208230,1.0000000000,0.8808000000,227.0663033606
1382,100,0,1,100,100,0,0,101,297,100,100,0.0310460362,5.0903745504,100.0000000000,15.9202678172,1.0000000000,0.8808000000,227.0663033606
1383,100,0,1,100,100,0,0,101,297,100,100,0.0289084780,5.0614660724,100.0000000000,15.9201442292,1.0000000000,0.8808000000,227.0663033606
1384,100,0,1,100,100,0,0,101,297,100,100,0.0371707063,5.0242953661,100.0000000000,15.9203897932,1.0000000000,0.8808000000,227.0663033606
1385,100,0,1,100,100,0,0,101,297,100,100,0.0350399241,4.9892554420,100.0000000000,15.9203616075,1.0000000000,0.8808000000,227.0663033606
1386,100,0,1,100,100,0,0,101,297,100,100,0.0314860604,4.9577693817,100.0000000000,15.9202815170,1.0000000000,0.8808000000,227.0663033606
1387,100,0,1,100,100,0,0,101,297,100,100,0.0291697685,4.9285996131,100.0000000000,15.9201694712,1.0000000000,0.8808000000,227.0663033606
1388,100,0,1,100,100,0,0,101,297,100,100,0.0371731363,4.8914264768,100.0000000000,15.9203901124,1.0000000000,0.8808000000,227.0663033606
1389,100,0,1,100,100,0,0,101,297,100,100,0.0326687451,4.8587577317,100.0000000000,15.9203133297,1.0000000000,0.8808000000,227.0663033606
1390,100,0,1,100,100,0,0,101,297,100,100,0.0352339956,4.8235237361,100.0000000000,15.9203683693,1.0000000000,0.8808000000,227.0663033606
1391,100,0,1,100,100,0,0,101,297,100,100,0.0331826188,4.7903411173,100.0000000000,15.9203157759,1.0000000000,0.8808000000,227.0663033606
1392,100,0,1,100,100,0,0,101,297,100,100,0.0355004406,4.7548406767,100.0000000000,15.9203683385,1.0000000000,0.8808000000,227.0663033606
1393,100,0,1,100,100,0,0,101,297,100,100,0.0325922453,4.7222484314,100.0000000000,15.9203173949,1.0000000000,0.8808000000,227.0663033606
1394,100,0,1,100,100,0,0,101,297,100,100,0.0357513295,4.6864971019,100.0000000000,15.9203699104,1.0000000000,0.8808000000,227.0663033606
1395,100,0,1,100,100,0,0,101,297,100,100,0.0324167591,4.6540803428,100.0000000000,15.9203133667,1.0000000000,0.8808000000,227.0663033606
1396,100,0,1,100,100,0,0,101,297,100,100,0.0331887704,4.6208915724,100.0000000000,15.9203311256,1.0000000000,0.8808000000,227.0663033606
1397,100,0,1,100,100,0,0,101,297,100,100,0.0365480724,4.5843435000,100.0000000000,15.9203913834,1.0000000000,0.8808000000,227.0663033606
1398,100,0,1,100,100,0,0,101,297,100,100,0.0313615721,4.5529819278,100.0000000000,15.9202773122,1.0000000000,0.8808000000,227.0663033606
1399,100,0,1,100,100,0,0,101,297,100,100,0.0306046268,4.5223773010,100.0000000000,15.9202335757,1.0000000000,0.8808000000,227.0663033606
1400,100,0,1,100,100,0,0,101,297,100,100,0.0316034276,4.4907738734,100.0000000000,15.9202765379,1.0000000000,0.8808000000,227.0663033606
1401,100,0,1,100,100,0,0,101,297,100,100,0.0382165955,4.4525572779,100.0000000000,15.9204120131,1.0000000000,0.8808000000,227.0663033606
1402,100,0,1,100,100,0,0,101,297,100,100,0.0341853983,4.4183718796,100.0000000000,15.9203435474,1.0000000000,0.8808000000,227.0663033606
1403,100,0,1,100,100,0,0,101,297,100,100,0.0325452228,4.3858266569,100.0000000000,15.9203134116,1.0000000000,0.8808000000,227.0663033606
1404,100,0,1,100,100,0,0,101,297,100,100,0.0300621983,4.3557644586,100.0000000000,15.9202334071,1.0000000000,0.8808000000,227.0663033606
1405,100,0,1,100,100,0,0,101,297,100,100,0.0341387706,4.3216256880,100.0000000000,15.9203303916,1.0000000000,0.8808000000,227.0663033606
1406,100,0,1,100,100,0,0,101,297,100,100,0.0293637288,4.2922619592,100.0000000000,15.9201922885,1.0000000000,0.8808000000,227.0663033606
1407,100,0,1,100,100,0,0,101,297,100,100,0.0300199688,4.2622419904,100.0000000000,15.9202154285,1.0000000000,0.8808000000,227.0663033606
1408,100,0,1,100,100,0,0,101,297,100,100,0.0299545880,4.2322874024,100.0000000000,15.9202239530,1.0000000000,0.8808000000,227.0663033606
1409,100,0,1,100,100,0,0,101,297,100,100,0.0313615721,4.2009258303,100.0000000000,15.9202773122,1.0000000000,0.8808000000,227.0663033606
1410,100,0,1,100,100,0,0,101,297,100,100,0.0324584506,4.1684673797,100.0000000000,15.9203049890,1.0000000000,0.8808000000,227.0663033606
1411,100,0,1,100,100,0,0,101,297,100,100,0.0289636248,4.1395037549,100.0000000000,15.9201625324,1.0000000000,0.8808000000,227.0663033606
1412,100,0,1,100,100,0,0,101,297,100,100,0.0374197021,4.1020840528,100.0000000000,15.9204011016,1.0000000000,0.8808000000,227.0663033606
1413,100,0,1,100,100,0,0,101,297,100,100,0.0296888164,4.0723952364,100.0000000000,15.9201971198,1.0000000000,0.8808000000,227.0663033606
1414,100,0,1,100,100,0,0,101,297,100,100,0.0345922635,4.0378029729,100.0000000000,15.9203407015,1.0000000000,0.8808000000,227.0663033606
1415,100,0,1,100,100,0,0,101,297,100,100,0.0352468722,4.0025561007,100.0000000000,15.9203690134,1.0000000000,0.8808000000,227.0663033606
1416,100,0,1,100,100,0,0,101,297,100,100,0.0374648040,3.9650912967,100.0000000000,15.9204006975,1.0000000000,0.8808000000,227.0663033606
1417,100,0,1,100,100,0,0,101,297,100,100,0.0365270817,3.9285642150,100.0000000000,15.9203796302,1.0000000000,0.8808000000,227.0663033606
1418,100,0,1,100,100,0,0,101,297,100,100,0.0331826188,3.8953815962,100.0000000000,15.9203157759,1.0000000000,0.8808000000,227.0663033606
1419,100,0,1,100,100,0,0,101,297,100,100,0.0360704445,3.8593111517,100.0000000000,15.9203722040,1.0000000000,0.8808000000,227.0663033606
1420,100,0,1,100,100,0,0,101,297,100,100,0.0294397017,3.8298714500,100.0000000000,15.9201889047,1.0000000000,0.8808000000,227.0663033606
1421,100,0,1,100,100,0,0,101,297,100,100,0.0299886215,3.7998828285,100.0000000000,15.9202069402,1.0000000000,0.8808000000,227.0663033606
1422,100,0,1,100,100,0,0,101,297,100,100,0.0297106111,3.7701722175,100.0000000000,15.9202076673,1.0000000000,0.8808000000,227.0663033606
1423,100,0,1,100,100,0,0,101,297,100,100,0.0368990456,3.7332731718,100.0000000000,15.9203811213,1.0000000000,0.8808000000,227.0663033606
1424,100,0,1,100,100,0,0,101,297,100,100,0.0296668044,3.7036063674,100.0000000000,15.9201922231,1.0000000000,0.8808000000,227.0663033606
1425,100,0,1,100,100,0,0,101,297,100,100,0.0300504184,3.6735559490,100.0000000000,15.9202139210,1.0000000000,0.8808000000,227.0663033606
1426,100,0,1,100,100,0,0,101,297,100,100,0.0310392246,3.6425167244,100.0000000000,15.9202532739,1.0000000000,0.8808000000,227.0663033606
1427,100,0,1,100,100,0,0,101,297,100,100,0.0379179898,3.6045987345,100.0000000000,15.9204009956,1.0000000000,0.8808000000,227.0663033606
1428,100,0,1,100,100,0,0,101,297,100,100,0.0305638573,3.5740348772,100.0000000000,15.9202413581,1.0000000000,0.8808000000,227.0663033606
1429,100,0,1,100,100,0,0,101,297,100,100,0.0306959319,3.5433389452,100.0000000000,15.9202547133,1.0000000000,0.8808000000,227.0663033606
1430,100,0,1,100,100,0,0,101,297,100,100,0.0312458122,3.5120931330,100.0000000000,15.9202655739,1.0000000000,0.8808000000,227.0663033606
1431,100,0,1,100,100,0,0,101,297,100,100,0.0337577980,3.4783353350,100.0000000000,15.9203411774,1.0000000000,0.8808000000,227.0663033606
