Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Selection_Iterations,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
414,84,16,11,84,84,0,0,6,588,5138,84,84,0.0751148327,9.8810295773,7.6363636364,14.9525512771,1.0000000000,1.1424000000,147.0588235294
415,84,16,11,84,84,0,0,6,588,5138,84,84,0.0750921495,9.8059374279,7.6363636364,14.9525481266,1.0000000000,1.1424000000,147.0588235294
416,83,17,12,83,83,0,0,6,587,5056,83,83,0.0743314589,9.7316059690,6.9166666667,14.8435405930,1.0000000000,1.1336000000,146.4361326747
417,83,17,12,83,83,0,0,6,581,4978,83,83,0.0730927319,9.6585132371,6.9166666667,14.8435363157,1.0000000000,1.1288000000,147.0588235294
418,82,18,11,82,82,0,0,6,580,4876,82,82,0.0721720686,9.5863411685,7.4545454545,14.9269965660,1.0000000000,1.1200000000,146.4285714286
419,82,18,12,82,82,0,0,6,574,4772,82,82,0.0707643115,9.5155768570,6.8333333333,14.8294394043,1.0000000000,1.1152000000,147.0588235294
420,81,19,12,81,80,1,1,6,572,4690,80,80,0.0699824605,9.4455943965,6.6666666667,14.8001797253,0.9876543210,1.0976000000,145.7725947522
421,81,19,10,81,81,0,0,6,567,4618,81,81,0.0691426815,9.3764517149,8.1000000000,15.0125180201,1.0000000000,1.1016000000,147.0588235294
422,81,19,11,81,81,0,0,6,567,4616,81,81,0.0689835387,9.3074681762,7.3636363636,14.9137541645,1.0000000000,1.1016000000,147.0588235294
423,81,19,11,81,81,0,0,6,567,4616,81,81,0.0690822433,9.2383859329,7.3636363636,14.9137580512,1.0000000000,1.1016000000,147.0588235294
424,81,19,11,81,81,0,0,6,567,4616,81,81,0.0690454506,9.1693404823,7.3636363636,14.9137545952,1.0000000000,1.1016000000,147.0588235294
425,81,19,11,81,81,0,0,6,567,4616,81,81,0.0690002806,9.1003402016,7.3636363636,14.9137534286,1.0000000000,1.1016000000,147.0588235294
426,81,19,13,81,81,0,0,6,567,4612,81,81,0.0688831957,9.0314570059,6.2307692308,14.7162223225,1.0000000000,1.1016000000,147.0588235294
427,81,19,12,81,81,0,0,6,567,4614,81,81,0.0690156385,8.9624413674,6.7500000000,14.8149962334,1.0000000000,1.1016000000,147.0588235294
428,81,19,12,81,81,0,0,6,567,4614,81,81,0.0688841554,8.8935572120,6.7500000000,14.8149833259,1.0000000000,1.1016000000,147.0588235294
429,81,19,13,81,81,0,0,6,567,4612,81,81,0.0688266441,8.8247305679,6.2307692308,14.7162225405,1.0000000000,1.1016000000,147.0588235294
430,81,19,12,81,81,0,0,6,567,4614,81,81,0.0688606603,8.7558699076,6.7500000000,14.8149790465,1.0000000000,1.1016000000,147.0588235294
431,81,19,12,81,81,0,0,6,567,4614,81,81,0.0688604878,8.6870094197,6.7500000000,14.8149837195,1.0000000000,1.1016000000,147.0588235294
432,81,19,11,81,81,0,0,6,567,4616,81,81,0.0689709400,8.6180384797,7.3636363636,14.9137511981,1.0000000000,1.1016000000,147.0588235294
433,81,19,12,81,81,0,0,6,567,4614,81,81,0.0689837063,8.5490547734,6.7500000000,14.8149935990,1.0000000000,1.1016000000,147.0588235294
434,81,19,12,81,81,0,0,6,567,4614,81,81,0.0689030335,8.4801517399,6.7500000000,14.8149860696,1.0000000000,1.1016000000,147.0588235294
435,81,19,12,81,81,0,0,6,567,4614,81,81,0.0689317800,8.4112199600,6.7500000000,14.8149838570,1.0000000000,1.1016000000,147.0588235294
436,81,19,11,81,81,0,0,6,567,4616,81,81,0.0689961742,8.3422237857,7.3636363636,14.9137549951,1.0000000000,1.1016000000,147.0588235294
437,81,19,11,81,81,0,0,6,567,4616,81,81,0.0689890564,8.2732347293,7.3636363636,14.9137483710,1.0000000000,1.1016000000,147.0588235294
438,81,19,12,81,80,1,0,6,567,4614,80,80,0.0687263667,8.2045083626,6.7500000000,14.8001775444,0.9876543210,1.0936000000,146.3057790783
439,80,20,13,80,80,0,0,6,559,4478,80,80,0.0671955739,8.1373127887,6.1538461538,14.7001629609,1.0000000000,1.0872000000,147.1670345843
440,80,20,11,80,80,0,0,6,560,4482,80,80,0.0674037286,8.0699090601,7.2727272727,14.9001750708,1.0000000000,1.0880000000,147.0588235294
441,80,20,11,80,80,0,0,6,560,4482,80,80,0.0673139170,8.0025951431,7.2727272727,14.9001661803,1.0000000000,1.0880000000,147.0588235294
442,80,20,11,80,80,0,0,6,560,4482,80,80,0.0673682900,7.9352268530,7.2727272727,14.9001695889,1.0000000000,1.0880000000,147.0588235294
443,80,20,10,80,79,1,1,6,559,4482,79,79,0.0672631439,7.8679637091,7.9000000000,14.9875143379,0.9875000000,1.0792000000,146.4047442550
444,80,20,12,80,80,0,0,6,560,4480,80,80,0.0673373705,7.8006263386,6.6666666667,14.8001789202,1.0000000000,1.0880000000,147.0588235294
445,77,23,12,77,77,0,0,6,551,4216,77,77,0.0651404341,7.7354859045,6.4166666667,14.7534174232,1.0000000000,1.0568000000,145.7229371688
446,76,24,12,76,75,1,0,6,538,3998,75,75,0.0611727108,7.6743131937,6.3333333333,14.7201691079,0.9868421053,1.0304000000,145.5745341615
447,75,25,12,75,75,0,0,6,525,3798,75,75,0.0590900050,7.6152231887,6.2500000000,14.7201760276,1.0000000000,1.0200000000,147.0588235294
448,74,26,11,74,74,0,0,6,524,3726,74,74,0.0588196418,7.5564035469,6.7272727273,14.8109829890,1.0000000000,1.0112000000,146.3607594937
449,74,26,12,74,74,0,0,6,518,3652,74,74,0.0572292812,7.4991742657,6.1666666667,14.7028737501,1.0000000000,1.0064000000,147.0588235294
450,74,26,11,74,74,0,0,6,518,3654,74,74,0.0573259312,7.4418483345,6.7272727273,14.8109819232,1.0000000000,1.0064000000,147.0588235294
451,73,27,12,73,73,0,0,6,517,3590,73,73,0.0569019039,7.3849464306,6.0833333333,14.6851002768,1.0000000000,0.9976000000,146.3512429832
