Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Rejected_Promotions,Chain_Repairs,Partial_Promotions,Emergency_Promotions
1,100,0,12,100,100,0,0,1,111,1364,100,100,0.0415797536,49.9433952464,8.3333333333,8.0000599768,1.0000000000,0.8888000000,225.0225022502,0,0,0,0,0
2,100,0,12,100,100,0,0,0,0,0,100,100,0.0255001072,49.9178951392,8.3333333333,8.0000599768,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
3,100,0,12,100,100,0,0,0,0,0,100,100,0.0255001072,49.8923950320,8.3333333333,8.0000599768,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
4,100,0,12,100,100,0,0,0,0,0,100,100,0.0255001072,49.8668949247,8.3333333333,8.0000599768,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
5,100,0,12,100,100,0,0,0,0,0,100,100,0.0255001072,49.8413948175,8.3333333333,8.0000599768,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
6,100,0,11,100,100,0,0,1,111,1267,100,100,0.0418722024,49.7995226151,9.0909090909,8.0000569534,1.0000000000,0.8888000000,225.0225022502,0,0,0,0,0
7,100,0,11,100,100,0,0,0,0,0,100,100,0.0268846814,49.7726379337,9.0909090909,8.0000569534,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
8,100,0,11,100,100,0,0,0,0,0,100,100,0.0268846814,49.7457532524,9.0909090909,8.0000569534,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
9,100,0,11,100,100,0,0,0,0,0,100,100,0.0268846814,49.7188685710,9.0909090909,8.0000569534,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
10,100,0,11,100,100,0,0,0,0,0,100,100,0.0268846814,49.6919838896,9.0909090909,8.0000569534,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
11,100,0,5,100,100,0,0,1,105,685,100,100,0.0327305825,49.6592533071,20.0000000000,8.0000843799,1.0000000000,0.8840000000,226.2443438914,0,0,0,0,0
12,100,0,5,100,100,0,0,0,0,0,100,100,0.0241527534,49.6351005537,20.0000000000,8.0000843799,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
13,100,0,5,100,100,0,0,0,0,0,100,100,0.0241527534,49.6109478003,20.0000000000,8.0000843799,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
14,100,0,5,100,100,0,0,0,0,0,100,100,0.0241527534,49.5867950469,20.0000000000,8.0000843799,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
15,100,0,5,100,100,0,0,0,0,0,100,100,0.0241527534,49.5626422935,20.0000000000,8.0000843799,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
