Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,HEED_Iterations,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
1156,51,49,12,51,50,1,0,6,144,526,50,50,0.0167854056,4.1140732302,4.2500000000,14.0801827548,0.9803921569,0.5152000000,194.0993788820
1157,49,51,9,49,46,3,3,6,129,473,46,46,0.0154966069,4.0985766233,5.1111111111,14.4349720732,0.9387755102,0.4712000000,195.2461799660
1158,49,51,10,49,49,0,0,6,135,500,49,49,0.0163878817,4.0821887417,4.9000000000,14.3675282027,1.0000000000,0.5000000000,196.0000000000
1159,49,51,11,49,49,0,0,6,134,462,49,49,0.0158968188,4.0662919229,4.4545454545,14.2042630660,1.0000000000,0.4992000000,196.3141025641
1160,49,51,11,49,49,0,0,6,139,515,49,49,0.0165005951,4.0497913278,4.4545454545,14.2042596387,1.0000000000,0.5032000000,194.7535771065
1161,49,51,11,49,49,0,0,6,136,486,49,49,0.0161202080,4.0336711199,4.4545454545,14.2042629498,1.0000000000,0.5008000000,195.6869009585
1162,48,52,11,48,48,0,0,6,137,484,48,48,0.0158971904,4.0177739294,4.3636363636,14.1668375469,1.0000000000,0.4936000000,194.4894651540
1163,48,52,11,48,48,0,0,6,141,479,48,48,0.0158578304,4.0019160990,4.3636363636,14.1668380844,1.0000000000,0.4968000000,193.2367149758
1164,48,52,11,48,48,0,0,6,134,458,48,48,0.0156023908,3.9863137082,4.3636363636,14.1668396757,1.0000000000,0.4912000000,195.4397394137
1165,48,52,11,48,48,0,0,6,132,448,48,48,0.0154911198,3.9708225883,4.3636363636,14.1668441581,1.0000000000,0.4896000000,196.0784313725
1166,48,52,11,48,48,0,0,6,134,445,48,48,0.0155163826,3.9553062057,4.3636363636,14.1668487174,1.0000000000,0.4912000000,195.4397394137
1167,48,52,11,48,48,0,0,6,136,453,48,48,0.0155754768,3.9397307289,4.3636363636,14.1668424265,1.0000000000,0.4928000000,194.8051948052
1168,48,52,10,48,48,0,0,6,132,466,48,48,0.0157526173,3.9239781116,4.8000000000,14.3335048720,1.0000000000,0.4896000000,196.0784313725
1169,48,52,11,48,48,0,0,6,140,468,48,48,0.0158072081,3.9081709035,4.3636363636,14.1668476204,1.0000000000,0.4960000000,193.5483870968
1170,48,52,11,48,48,0,0,6,137,456,48,48,0.0156489561,3.8925219474,4.3636363636,14.1668512283,1.0000000000,0.4936000000,194.4894651540
1171,48,52,11,48,48,0,0,6,143,480,48,48,0.0159065630,3.8766153844,4.3636363636,14.1668358391,1.0000000000,0.4984000000,192.6163723917
1172,48,52,11,48,48,0,0,6,133,435,48,48,0.0154013128,3.8612140717,4.3636363636,14.1668494523,1.0000000000,0.4904000000,195.7585644372
1173,48,52,12,48,48,0,0,6,129,437,48,48,0.0152887803,3.8459252914,4.0000000000,14.0001770009,1.0000000000,0.4872000000,197.0443349754
1174,47,53,11,48,41,7,0,6,137,479,41,41,0.0145455171,3.8313797743,3.8181818182,14.0489586338,0.8541666667,0.4376000000,187.3857404022
1175,47,53,11,47,47,0,0,6,131,428,47,47,0.0150869555,3.8162928188,4.2727272727,14.1278416308,1.0000000000,0.4808000000,195.5074875208
1176,47,53,11,47,47,0,0,6,136,459,47,47,0.0154629284,3.8008298904,4.2727272727,14.1278416372,1.0000000000,0.4848000000,193.8943894389
1177,47,53,11,47,47,0,0,6,136,452,47,47,0.0153633961,3.7854664944,4.2727272727,14.1278372204,1.0000000000,0.4848000000,193.8943894389
1178,47,53,11,47,46,1,0,6,136,447,46,46,0.0151350891,3.7703314052,4.2727272727,14.0871390974,0.9787234043,0.4768000000,192.9530201342
1179,46,54,11,46,46,0,0,6,133,442,46,46,0.0150492763,3.7552821290,4.1818181818,14.0871313219,1.0000000000,0.4744000000,193.9291736931
1180,46,54,11,46,46,0,0,6,131,428,46,46,0.0148209632,3.7404611658,4.1818181818,14.0871260858,1.0000000000,0.4728000000,194.5854483926
1181,46,54,11,46,46,0,0,6,134,421,46,46,0.0148050826,3.7256560832,4.1818181818,14.0871304734,1.0000000000,0.4752000000,193.6026936027
1182,46,54,11,46,46,0,0,6,135,440,46,46,0.0150383076,3.7106177756,4.1818181818,14.0871285811,1.0000000000,0.4760000000,193.2773109244
1183,46,54,11,46,46,0,0,6,138,444,46,46,0.0151225249,3.6954952507,4.1818181818,14.0871406999,1.0000000000,0.4784000000,192.3076923077
1184,46,54,11,46,46,0,0,6,133,430,46,46,0.0149404452,3.6805548055,4.1818181818,14.0871407931,1.0000000000,0.4744000000,193.9291736931
1185,46,54,11,46,46,0,0,6,135,430,46,46,0.0148909926,3.6656638130,4.1818181818,14.0871296191,1.0000000000,0.4760000000,193.2773109244
1186,46,54,11,46,46,0,0,6,128,430,46,46,0.0148828057,3.6507810072,4.1818181818,14.0871331193,1.0000000000,0.4704000000,195.5782312925
1187,46,54,11,46,46,0,0,6,131,427,46,46,0.0148099427,3.6359710645,4.1818181818,14.0871265000,1.0000000000,0.4728000000,194.5854483926
1188,46,54,11,46,46,0,0,6,134,424,46,46,0.0148096093,3.6211614552,4.1818181818,14.0871270764,1.0000000000,0.4752000000,193.6026936027
1189,45,55,11,45,45,0,0,6,125,432,45,45,0.0146556619,3.6065057933,4.0909090909,14.0446210600,1.0000000000,0.4600000000,195.6521739130
1190,44,56,11,44,44,0,0,6,125,399,44,44,0.0141019141,3.5924038792,4.0000000000,14.0001849302,1.0000000000,0.4520000000,194.6902654867
1191,44,56,11,44,44,0,0,6,130,406,44,44,0.0141927941,3.5782110851,4.0000000000,14.0001775392,1.0000000000,0.4560000000,192.9824561404
1192,43,57,10,43,43,0,0,6,120,373,43,43,0.0136394167,3.5645716683,4.3000000000,14.1397186199,1.0000000000,0.4400000000,195.4545454545
1193,43,57,10,43,43,0,0,6,125,391,43,43,0.0138313426,3.5507403258,4.3000000000,14.1397092268,1.0000000000,0.4440000000,193.6936936937
1194,43,57,10,43,43,0,0,6,120,391,43,43,0.0138240916,3.5369162341,4.3000000000,14.1397062539,1.0000000000,0.4400000000,195.4545454545
1195,43,57,10,43,43,0,0,6,126,399,43,43,0.0139509597,3.5229652744,4.3000000000,14.1397162271,1.0000000000,0.4448000000,193.3453237410
1196,42,58,10,43,36,7,0,6,117,380,36,36,0.0123475536,3.5106177208,3.7000000000,14.0001842368,0.8372093023,0.3816000000,188.6792452830
1197,42,58,10,42,42,0,0,6,125,382,42,42,0.0135411071,3.4970766137,4.2000000000,14.0954133831,1.0000000000,0.4360000000,192.6605504587
1198,42,58,10,42,42,0,0,6,129,390,42,42,0.0136544026,3.4834222112,4.2000000000,14.0954138422,1.0000000000,0.4392000000,191.2568306011
1199,42,58,10,42,42,0,0,6,120,361,42,42,0.0133157701,3.4701064410,4.2000000000,14.0954221583,1.0000000000,0.4320000000,194.4444444444
1200,42,58,10,42,42,0,0,6,121,375,42,42,0.0134316343,3.4566748067,4.2000000000,14.0954107630,1.0000000000,0.4328000000,194.0850277264
1201,42,58,10,42,42,0,0,6,122,365,42,42,0.0133854011,3.4432894056,4.2000000000,14.0954226418,1.0000000000,0.4336000000,193.7269372694
1202,42,58,10,42,42,0,0,6,119,375,42,42,0.0134399298,3.4298494758,4.2000000000,14.0954197308,1.0000000000,0.4312000000,194.8051948052
1203,42,58,10,42,42,0,0,6,121,393,42,42,0.0136321815,3.4162172943,4.2000000000,14.0954165210,1.0000000000,0.4328000000,194.0850277264
1204,42,58,10,42,42,0,0,6,120,376,42,42,0.0134441849,3.4027731094,4.2000000000,14.0954143018,1.0000000000,0.4320000000,194.4444444444
1205,42,58,10,42,42,0,0,6,120,360,42,42,0.0132748857,3.3894982237,4.2000000000,14.0954168569,1.0000000000,0.4320000000,194.4444444444
1206,42,58,10,42,42,0,0,6,120,365,42,42,0.0132884868,3.3762097369,4.2000000000,14.0954068719,1.0000000000,0.4320000000,194.4444444444
1207,42,58,10,42,42,0,0,6,122,381,42,42,0.0135393199,3.3626704170,4.2000000000,14.0954199764,1.0000000000,0.4336000000,193.7269372694
1208,42,58,10,42,42,0,0,6,120,361,42,42,0.0133242313,3.3493461857,4.2000000000,14.0954244987,1.0000000000,0.4320000000,194.4444444444
1209,42,58,10,42,42,0,0,6,118,369,42,42,0.0133659323,3.3359802534,4.2000000000,14.0954196041,1.0000000000,0.4304000000,195.1672862454
1210,42,58,10,42,42,0,0,6,116,355,42,42,0.0132161355,3.3227641178,4.2000000000,14.0954204625,1.0000000000,0.4288000000,195.8955223881
1211,42,58,10,42,42,0,0,6,120,358,42,42,0.0132579582,3.3095061596,4.2000000000,14.0954124605,1.0000000000,0.4320000000,194.4444444444
1212,42,58,10,42,42,0,0,6,121,362,42,42,0.0132918677,3.2962142918,4.2000000000,14.0954130133,1.0000000000,0.4328000000,194.0850277264
1213,42,58,10,42,42,0,0,6,119,368,42,42,0.0133343466,3.2828799453,4.2000000000,14.0954141508,1.0000000000,0.4312000000,194.8051948052
1214,42,58,10,42,42,0,0,6,123,382,42,42,0.0135667858,3.2693131594,4.2000000000,14.0954208497,1.0000000000,0.4344000000,193.3701657459
1215,42,58,10,42,42,0,0,6,119,375,42,42,0.0134095354,3.2559036241,4.2000000000,14.0954166621,1.0000000000,0.4312000000,194.8051948052
1216,42,58,10,42,42,0,0,6,124,384,42,42,0.0135373489,3.2423662752,4.2000000000,14.0954129048,1.0000000000,0.4352000000,193.0147058824
1217,42,58,11,42,42,0,0,6,120,360,42,42,0.0132153895,3.2291508857,3.8181818182,13.9049413675,1.0000000000,0.4320000000,194.4444444444
1218,42,58,10,42,42,0,0,6,118,362,42,42,0.0132607245,3.2158901612,4.2000000000,14.0954136051,1.0000000000,0.4304000000,195.1672862454
1219,42,58,11,42,42,0,0,6,118,363,42,42,0.0131962856,3.2026938757,3.8181818182,13.9049339323,1.0000000000,0.4304000000,195.1672862454
1220,42,58,10,42,42,0,0,6,126,386,42,42,0.0135912818,3.1891025939,4.2000000000,14.0954124381,1.0000000000,0.4368000000,192.3076923077
1221,41,59,10,42,37,5,0,6,124,378,39,39,0.0129997204,3.1761028735,3.8000000000,14.0542420018,0.8809523810,0.4112000000,179.9610894942
1222,41,59,10,41,41,0,0,6,121,366,41,41,0.0131387137,3.1629641598,4.1000000000,14.0489577585,1.0000000000,0.4248000000,193.0320150659
1223,41,59,10,41,41,0,0,6,123,361,41,41,0.0130696160,3.1498945438,4.1000000000,14.0489535658,1.0000000000,0.4264000000,192.3076923077
1224,41,59,10,41,41,0,0,6,118,349,41,41,0.0129188169,3.1369757269,4.1000000000,14.0489593593,1.0000000000,0.4224000000,194.1287878788
1225,41,59,10,41,41,0,0,6,117,344,41,41,0.0128721938,3.1241035331,4.1000000000,14.0489602432,1.0000000000,0.4216000000,194.4971537002
1226,41,59,10,41,41,0,0,6,119,348,41,41,0.0129544366,3.1111490964,4.1000000000,14.0489616434,1.0000000000,0.4232000000,193.7618147448
1227,41,59,10,41,41,0,0,6,122,360,41,41,0.0131064622,3.0980426342,4.1000000000,14.0489632239,1.0000000000,0.4256000000,192.6691729323
1228,41,59,10,41,41,0,0,6,121,355,41,41,0.0130379243,3.0850047099,4.1000000000,14.0489656551,1.0000000000,0.4248000000,193.0320150659
1229,41,59,11,41,41,0,0,6,117,340,41,41,0.0127583674,3.0722463426,3.7272727273,13.8538361694,1.0000000000,0.4216000000,194.4971537002
1230,41,59,10,41,41,0,0,6,114,347,41,41,0.0128603417,3.0593860009,4.1000000000,14.0489566534,1.0000000000,0.4192000000,195.6106870229
1231,41,59,10,41,41,0,0,6,122,368,41,41,0.0131815438,3.0462044571,4.1000000000,14.0489616749,1.0000000000,0.4256000000,192.6691729323
1232,41,59,10,41,41,0,0,6,113,328,41,41,0.0126704628,3.0335339943,4.1000000000,14.0489605342,1.0000000000,0.4184000000,195.9847036329
1233,41,59,11,41,41,0,0,6,114,345,41,41,0.0127934617,3.0207405326,3.7272727273,13.8538424306,1.0000000000,0.4192000000,195.6106870229
1234,41,59,10,41,41,0,0,6,121,358,41,41,0.0130564101,3.0076841225,4.1000000000,14.0489604312,1.0000000000,0.4248000000,193.0320150659
1235,41,59,10,41,40,1,0,6,119,370,40,40,0.0129875036,2.9946966189,4.1000000000,14.0001868438,0.9756097561,0.4152000000,192.6782273603
1236,40,60,10,40,40,0,0,6,116,344,40,40,0.0126548818,2.9820417371,4.0000000000,14.0001781703,1.0000000000,0.4128000000,193.7984496124
1237,40,60,10,40,40,0,0,6,119,344,40,40,0.0126918072,2.9693499299,4.0000000000,14.0001795107,1.0000000000,0.4152000000,192.6782273603
1238,40,60,10,40,40,0,0,6,121,352,40,40,0.0128040048,2.9565459252,4.0000000000,14.0001851396,1.0000000000,0.4168000000,191.9385796545
1239,40,60,10,40,40,0,0,6,115,321,40,40,0.0123996209,2.9441463043,4.0000000000,14.0001760040,1.0000000000,0.4120000000,194.1747572816
1240,40,60,10,40,40,0,0,6,113,328,40,40,0.0124630651,2.9316832392,4.0000000000,14.0001808873,1.0000000000,0.4104000000,194.9317738791
1241,40,60,10,40,40,0,0,6,119,346,40,40,0.0127388180,2.9189444212,4.0000000000,14.0001852808,1.0000000000,0.4152000000,192.6782273603
1242,40,60,10,40,40,0,0,6,113,318,40,40,0.0123714322,2.9065729891,4.0000000000,14.0001828516,1.0000000000,0.4104000000,194.9317738791
1243,40,60,10,40,40,0,0,6,115,328,40,40,0.0124765613,2.8940964278,4.0000000000,14.0001790183,1.0000000000,0.4120000000,194.1747572816
1244,40,60,10,40,40,0,0,6,121,353,40,40,0.0127581338,2.8813382939,4.0000000000,14.0001742065,1.0000000000,0.4168000000,191.9385796545
1245,40,60,10,40,40,0,0,6,115,332,40,40,0.0125102172,2.8688280767,4.0000000000,14.0001796678,1.0000000000,0.4120000000,194.1747572816
1246,40,60,10,40,40,0,0,6,112,322,40,40,0.0123510105,2.8564770662,4.0000000000,14.0001730090,1.0000000000,0.4096000000,195.3125000000
1247,40,60,11,40,40,0,0,6,110,319,40,40,0.0122614370,2.8442156292,3.6363636364,13.8001765847,1.0000000000,0.4080000000,196.0784313725
1248,40,60,10,40,40,0,0,6,117,348,40,40,0.0126615785,2.8315540508,4.0000000000,14.0001747047,1.0000000000,0.4136000000,193.4235976789
1249,40,60,10,40,40,0,0,6,123,365,40,40,0.0129521020,2.8186019488,4.0000000000,14.0001812387,1.0000000000,0.4184000000,191.2045889101
1250,40,60,10,40,40,0,0,6,119,338,40,40,0.0126110056,2.8059909432,4.0000000000,14.0001797262,1.0000000000,0.4152000000,192.6782273603
1251,40,60,10,40,40,0,0,6,116,335,40,40,0.0125390749,2.7934518683,4.0000000000,14.0001785578,1.0000000000,0.4128000000,193.7984496124
1252,39,61,10,39,39,0,0,6,116,337,39,39,0.0123696191,2.7810822492,3.9000000000,13.9488983566,1.0000000000,0.4048000000,192.6877470356
1253,39,61,10,39,39,0,0,6,105,306,39,39,0.0119441980,2.7691380512,3.9000000000,13.9488997682,1.0000000000,0.3960000000,196.9696969697
1254,39,61,10,39,39,0,0,6,115,321,39,39,0.0122234162,2.7569146350,3.9000000000,13.9489054221,1.0000000000,0.4040000000,193.0693069307
1255,39,61,10,39,39,0,0,6,116,326,39,39,0.0122451891,2.7446694458,3.9000000000,13.9488970553,1.0000000000,0.4048000000,192.6877470356
1256,39,61,10,39,39,0,0,6,115,324,39,39,0.0122239388,2.7324455071,3.9000000000,13.9489014020,1.0000000000,0.4040000000,193.0693069307
1257,39,61,10,39,39,0,0,6,114,328,39,39,0.0122433720,2.7202021351,3.9000000000,13.9489002534,1.0000000000,0.4032000000,193.4523809524
1258,39,61,10,39,39,0,0,6,115,316,39,39,0.0121436349,2.7080585002,3.9000000000,13.9489000377,1.0000000000,0.4040000000,193.0693069307
1259,39,61,10,39,39,0,0,6,117,330,39,39,0.0123493577,2.6957091425,3.9000000000,13.9489073483,1.0000000000,0.4056000000,192.3076923077
1260,39,61,10,39,39,0,0,6,113,331,39,39,0.0123444837,2.6833646588,3.9000000000,13.9489149374,1.0000000000,0.4024000000,193.8369781312
1261,39,61,10,39,39,0,0,6,112,312,39,39,0.0120820296,2.6712826292,3.9000000000,13.9489026930,1.0000000000,0.4016000000,194.2231075697
1262,39,61,11,39,39,0,0,6,114,327,39,39,0.0121676039,2.6591150253,3.5454545455,13.7437691079,1.0000000000,0.4032000000,193.4523809524
1263,38,62,10,39,33,6,0,6,114,331,36,36,0.0117795196,2.6473355057,3.4000000000,13.8183737574,0.8461538462,0.3792000000,174.0506329114
1264,38,62,10,38,38,0,0,6,109,305,38,38,0.0117698457,2.6355656600,3.8000000000,13.8949205877,1.0000000000,0.3912000000,194.2740286299
1265,38,62,10,38,38,0,0,6,113,307,38,38,0.0118089435,2.6237567165,3.8000000000,13.8949164562,1.0000000000,0.3944000000,192.6977687627
1266,38,62,10,38,38,0,0,6,112,305,38,38,0.0118257549,2.6119309617,3.8000000000,13.8949233554,1.0000000000,0.3936000000,193.0894308943
1267,38,62,10,38,38,0,0,6,112,310,38,38,0.0118634824,2.6000674792,3.8000000000,13.8949199391,1.0000000000,0.3936000000,193.0894308943
1268,38,62,10,38,38,0,0,6,112,305,38,38,0.0117966194,2.5882708598,3.8000000000,13.8949186451,1.0000000000,0.3936000000,193.0894308943
1269,38,62,10,38,37,1,0,6,111,307,37,37,0.0116405160,2.5766303438,3.8000000000,13.8380259557,0.9736842105,0.3848000000,192.3076923077
1270,36,64,10,37,32,5,0,6,112,304,33,33,0.0108096232,2.5658207207,3.3000000000,13.7501814872,0.8648648649,0.3536000000,180.9954751131
1271,36,64,10,36,36,0,0,6,103,261,36,36,0.0108145014,2.5550062193,3.6000000000,13.7779551908,1.0000000000,0.3704000000,194.3844492441
1272,36,64,10,36,36,0,0,6,109,277,36,36,0.0110810484,2.5439251709,3.6000000000,13.7779583211,1.0000000000,0.3752000000,191.8976545842
1273,35,65,10,36,32,4,0,6,106,266,32,32,0.0101308945,2.5337942764,3.3000000000,13.7501722917,0.8888888889,0.3408000000,187.7934272300
1274,35,65,10,35,35,0,0,6,100,245,35,35,0.0103903466,2.5234039298,3.5000000000,13.7144576819,1.0000000000,0.3600000000,194.4444444444
1275,35,65,10,35,35,0,0,6,105,260,35,35,0.0106392715,2.5127646583,3.5000000000,13.7144637123,1.0000000000,0.3640000000,192.3076923077
1276,35,65,10,35,35,0,0,6,106,267,35,35,0.0107309516,2.5020337067,3.5000000000,13.7144680851,1.0000000000,0.3648000000,191.8859649123
1277,35,65,11,35,35,0,0,6,104,267,35,35,0.0106498978,2.4913838089,3.1818181818,13.4858906154,1.0000000000,0.3632000000,192.7312775330
1278,35,65,10,35,35,0,0,6,109,270,35,35,0.0108075506,2.4805762584,3.5000000000,13.7144689288,1.0000000000,0.3672000000,190.6318082789
1279,35,65,10,35,35,0,0,6,106,265,35,35,0.0106784493,2.4698978091,3.5000000000,13.7144621404,1.0000000000,0.3648000000,191.8859649123
1280,34,66,11,34,34,0,0,6,100,240,34,34,0.0100976746,2.4598001345,3.0909090909,13.4119386075,1.0000000000,0.3520000000,193.1818181818
1281,34,66,10,34,34,0,0,6,105,245,34,34,0.0102518224,2.4495483122,3.4000000000,13.6472333982,1.0000000000,0.3560000000,191.0112359551
1282,34,66,10,34,34,0,0,6,101,234,34,34,0.0101193128,2.4394289994,3.4000000000,13.6472377087,1.0000000000,0.3528000000,192.7437641723
1283,34,66,10,34,34,0,0,6,99,233,34,34,0.0100815926,2.4293474067,3.4000000000,13.6472368237,1.0000000000,0.3512000000,193.6218678815
1284,34,66,10,34,34,0,0,6,111,257,34,34,0.0104362278,2.4189111789,3.4000000000,13.6472351394,1.0000000000,0.3608000000,188.4700665188
1285,34,66,10,34,34,0,0,6,104,241,34,34,0.0102220006,2.4086891783,3.4000000000,13.6472358310,1.0000000000,0.3552000000,191.4414414414
1286,33,67,10,34,29,5,0,6,99,227,29,29,0.0090732326,2.3996159457,3.0000000000,13.5174098123,0.8529411765,0.3112000000,186.3753213368
