Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Selection_Iterations,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
258,100,0,13,100,100,0,0,6,700,8514,100,100,0.1132959402,26.5384532461,7.6923076923,14.9601597735,1.0000000000,1.3600000000,147.0588235294
259,100,0,11,100,100,0,0,6,700,8518,100,100,0.1135877808,26.4248654652,9.0909090909,15.1201686814,1.0000000000,1.3600000000,147.0588235294
260,100,0,10,100,100,0,0,6,700,8520,100,100,0.1136733504,26.3111921148,10.0000000000,15.2001628689,1.0000000000,1.3600000000,147.0588235294
261,100,0,11,100,100,0,0,6,700,8518,100,100,0.1136073916,26.1975847233,9.0909090909,15.1201760920,1.0000000000,1.3600000000,147.0588235294
262,100,0,11,100,100,0,0,6,700,8518,100,100,0.1135844152,26.0840003081,9.0909090909,15.1201634164,1.0000000000,1.3600000000,147.0588235294
263,100,0,12,100,100,0,0,6,700,8516,100,100,0.1135139246,25.9704863835,8.3333333333,15.0401724737,1.0000000000,1.3600000000,147.0588235294
264,100,0,10,100,100,0,0,6,700,8520,100,100,0.1137528996,25.8567334839,10.0000000000,15.2001670981,1.0000000000,1.3600000000,147.0588235294
265,100,0,11,100,100,0,0,6,700,8518,100,100,0.1136058784,25.7431276054,9.0909090909,15.1201667743,1.0000000000,1.3600000000,147.0588235294
266,100,0,12,100,100,0,0,6,700,8516,100,100,0.1134758415,25.6296517640,8.3333333333,15.0401701287,1.0000000000,1.3600000000,147.0588235294
267,100,0,10,100,100,0,0,6,700,8520,100,100,0.1137563399,25.5158954241,10.0000000000,15.2001684171,1.0000000000,1.3600000000,147.0588235294
268,100,0,12,100,100,0,0,6,700,8516,100,100,0.1134431200,25.4024523041,8.3333333333,15.0401611668,1.0000000000,1.3600000000,147.0588235294
269,100,0,11,100,100,0,0,6,700,8518,100,100,0.1135525274,25.2888997767,9.0909090909,15.1201657322,1.0000000000,1.3600000000,147.0588235294
270,100,0,11,100,100,0,0,6,700,8518,100,100,0.1135845504,25.1753152264,9.0909090909,15.1201629681,1.0000000000,1.3600000000,147.0588235294
271,100,0,10,100,100,0,0,6,700,8520,100,100,0.1137805626,25.0615346638,10.0000000000,15.2001761141,1.0000000000,1.3600000000,147.0588235294
272,100,0,13,100,100,0,0,6,700,8514,100,100,0.1133744226,24.9481602411,7.6923076923,14.9601676045,1.0000000000,1.3600000000,147.0588235294
273,100,0,10,100,100,0,0,6,700,8520,100,100,0.1136333701,24.8345268710,10.0000000000,15.2001637300,1.0000000000,1.3600000000,147.0588235294
274,100,0,11,100,100,0,0,6,700,8518,100,100,0.1136658740,24.7208609970,9.0909090909,15.1201742230,1.0000000000,1.3600000000,147.0588235294
275,100,0,12,100,100,0,0,6,700,8516,100,100,0.1134638467,24.6073971503,8.3333333333,15.0401696686,1.0000000000,1.3600000000,147.0588235294
276,100,0,11,100,100,0,0,6,700,8518,100,100,0.1135811206,24.4938160297,9.0909090909,15.1201737419,1.0000000000,1.3600000000,147.0588235294
277,100,0,11,100,100,0,0,6,700,8518,100,100,0.1135765282,24.3802395015,9.0909090909,15.1201667060,1.0000000000,1.3600000000,147.0588235294
278,100,0,13,100,100,0,0,6,700,8514,100,100,0.1133724933,24.2668670082,7.6923076923,14.9601660140,1.0000000000,1.3600000000,147.0588235294
279,100,0,12,100,100,0,0,6,700,8516,100,100,0.1134772938,24.1533897144,8.3333333333,15.0401702819,1.0000000000,1.3600000000,147.0588235294
280,100,0,11,100,100,0,0,6,700,8518,100,100,0.1136054895,24.0397842249,9.0909090909,15.1201682671,1.0000000000,1.3600000000,147.0588235294
