Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,HEED_Iterations,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
36,100,0,12,100,100,0,0,4,243,2157,100,100,0.0674230127,47.6317097208,8.3333333333,15.0405561973,1.0000000000,0.9944000000,201.1263073210
37,100,0,12,100,100,0,0,4,248,2264,100,100,0.0685906750,47.5631190458,8.3333333333,15.0405600132,1.0000000000,0.9984000000,200.3205128205
38,100,0,12,100,100,0,0,4,253,2292,100,100,0.0664573880,47.4966616578,8.3333333333,15.0405540051,1.0000000000,1.0024000000,199.5211492418
39,100,0,18,100,100,0,0,4,239,2173,100,100,0.0718643561,47.4247973017,5.5555555556,14.5605586174,1.0000000000,0.9912000000,201.7756255044
40,100,0,10,100,100,0,0,4,250,2255,100,100,0.0640871023,47.3607101994,10.0000000000,15.2005564891,1.0000000000,1.0000000000,200.0000000000
41,100,0,9,100,100,0,0,4,250,2279,100,100,0.0618876410,47.2988225584,11.1111111111,15.2805737373,1.0000000000,1.0000000000,200.0000000000
42,100,0,10,100,100,0,0,4,245,2172,100,100,0.0626545160,47.2361680424,10.0000000000,15.2005670271,1.0000000000,0.9960000000,200.8032128514
43,100,0,11,100,100,0,0,4,240,2088,100,100,0.0648388866,47.1713291558,9.0909090909,15.1205746980,1.0000000000,0.9920000000,201.6129032258
44,100,0,11,100,100,0,0,4,244,2211,100,100,0.0636277084,47.1077014475,9.0909090909,15.1205718599,1.0000000000,0.9952000000,200.9646302251
45,100,0,9,100,100,0,0,4,237,2124,100,100,0.0564497837,47.0512516637,11.1111111111,15.2805586972,1.0000000000,0.9896000000,202.1018593371
46,100,0,13,100,100,0,0,4,242,2251,100,100,0.0692177279,46.9820339358,7.6923076923,14.9605591929,1.0000000000,0.9936000000,201.2882447665
47,100,0,11,100,100,0,0,4,250,2237,100,100,0.0614868024,46.9205471334,9.0909090909,15.1205588061,1.0000000000,1.0000000000,200.0000000000
48,100,0,11,100,100,0,0,4,241,2128,100,100,0.0626357955,46.8579113379,9.0909090909,15.1205575120,1.0000000000,0.9928000000,201.4504431910
49,100,0,13,100,100,0,0,4,243,2199,100,100,0.0695884570,46.7883228809,7.6923076923,14.9605491680,1.0000000000,0.9944000000,201.1263073210
