Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
37,100,0,15,100,100,0,0,115,1655,100,100,0.0404543503,48.4063073681,6.6666666667,14.8001882193,1.0000000000,0.8920000000,224.2152466368
38,100,0,16,100,100,0,0,112,1752,100,100,0.0407247851,48.3655825830,6.2500000000,14.7201667629,1.0000000000,0.8896000000,224.8201438849
39,100,0,24,100,100,0,0,119,2528,100,100,0.0487986276,48.3167839554,4.1666666667,14.0801593099,1.0000000000,0.8952000000,223.4137622878
40,100,0,15,100,100,0,0,113,1655,100,100,0.0401467420,48.2766372134,6.6666666667,14.8001583423,1.0000000000,0.8904000000,224.6181491465
41,100,0,9,100,100,0,0,108,1073,100,100,0.0344753552,48.2421618581,11.1111111111,15.2801948471,1.0000000000,0.8864000000,225.6317689531
42,100,0,9,100,100,0,0,108,1073,100,100,0.0356663188,48.2064955393,11.1111111111,15.2802013374,1.0000000000,0.8864000000,225.6317689531
43,100,0,20,100,100,0,0,113,2140,100,100,0.0451778509,48.1613176884,5.0000000000,14.4001736221,1.0000000000,0.8904000000,224.6181491465
44,100,0,10,100,100,0,0,110,1170,100,100,0.0353472485,48.1259704399,10.0000000000,15.2001898578,1.0000000000,0.8880000000,225.2252252252
45,100,0,16,100,100,0,0,113,1752,100,100,0.0410002557,48.0849701841,6.2500000000,14.7201684845,1.0000000000,0.8904000000,224.6181491465
46,100,0,13,100,100,0,0,112,1461,100,100,0.0383096322,48.0466605520,7.6923076923,14.9601776374,1.0000000000,0.8896000000,224.8201438849
47,100,0,18,100,100,0,0,114,1946,100,100,0.0435967374,48.0030638145,5.5555555556,14.5601944934,1.0000000000,0.8912000000,224.4165170557
48,100,0,11,100,100,0,0,111,1267,100,100,0.0367545878,47.9663092267,9.0909090909,15.1201964281,1.0000000000,0.8888000000,225.0225022502
49,100,0,14,100,100,0,0,113,1558,100,100,0.0391409680,47.9271682587,7.1428571429,14.8801708413,1.0000000000,0.8904000000,224.6181491465
50,100,0,17,100,100,0,0,114,1849,100,100,0.0421302552,47.8850380035,5.8823529412,14.6401684883,1.0000000000,0.8912000000,224.4165170557
51,100,0,17,100,100,0,0,115,1849,100,100,0.0424787393,47.8425592642,5.8823529412,14.6401903486,1.0000000000,0.8920000000,224.2152466368
52,100,0,12,100,100,0,0,111,1364,100,100,0.0376795770,47.8048796872,8.3333333333,15.0401952572,1.0000000000,0.8888000000,225.0225022502
53,100,0,21,100,100,0,0,115,2237,100,100,0.0465997542,47.7582799330,4.7619047619,14.3201873639,1.0000000000,0.8920000000,224.2152466368
54,100,0,13,100,100,0,0,112,1461,100,100,0.0385066220,47.7197733111,7.6923076923,14.9601827843,1.0000000000,0.8896000000,224.8201438849
