Round,Alive,Dead,CH_Count,FallbackUsed,Generated,Delivered,Lost,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
44,100,0,9,0,100,100,0,100,100,0.0422072550,48.1508584765,30.5601832529,1.0000000000,1.6000000000,250.0000000000
45,100,0,12,0,100,100,0,100,100,0.0420793696,48.1087791069,30.0801911554,1.0000000000,1.6000000000,250.0000000000
46,100,0,10,0,100,100,0,100,100,0.0426846020,48.0660945050,30.4001738874,1.0000000000,1.6000000000,250.0000000000
47,100,0,11,0,100,100,0,100,100,0.0416268709,48.0244676341,30.2401596850,1.0000000000,1.6000000000,250.0000000000
48,100,0,25,0,100,100,0,100,100,0.0395434821,47.9849241519,28.0001567167,1.0000000000,1.6000000000,250.0000000000
49,100,0,38,0,100,100,0,100,100,0.0374904074,47.9474337446,25.9201448063,1.0000000000,1.6000000000,250.0000000000
50,100,0,4,0,100,100,0,100,100,0.0457971564,47.9016365881,31.3601936084,1.0000000000,1.6000000000,250.0000000000
51,100,0,8,0,100,100,0,100,100,0.0451609849,47.8564756033,30.7202301621,1.0000000000,1.6000000000,250.0000000000
52,100,0,3,0,100,100,0,100,100,0.0474829475,47.8089926558,31.5202333589,1.0000000000,1.6000000000,250.0000000000
53,100,0,9,0,100,100,0,100,100,0.0425583006,47.7664343552,30.5601828536,1.0000000000,1.6000000000,250.0000000000
54,100,0,6,0,100,100,0,100,100,0.0429402757,47.7234940795,31.0401934835,1.0000000000,1.6000000000,250.0000000000
55,100,0,8,0,100,100,0,100,100,0.0423349180,47.6811591614,30.7201815016,1.0000000000,1.6000000000,250.0000000000
56,100,0,11,0,100,100,0,100,100,0.0422631186,47.6388960428,30.2401961068,1.0000000000,1.6000000000,250.0000000000
57,100,0,15,0,100,100,0,100,100,0.0407605693,47.5981354735,29.6001636453,1.0000000000,1.6000000000,250.0000000000
58,100,0,13,0,100,100,0,100,100,0.0411355916,47.5569998819,29.9201691070,1.0000000000,1.6000000000,250.0000000000
59,100,0,28,0,100,100,0,100,100,0.0391272601,47.5178726218,27.5201582509,1.0000000000,1.6000000000,250.0000000000
60,100,0,10,0,100,100,0,100,100,0.0417626751,47.4761099467,30.4001702959,1.0000000000,1.6000000000,250.0000000000
61,100,0,2,0,100,100,0,100,100,0.0507143535,47.4253955932,31.6802521607,1.0000000000,1.6000000000,250.0000000000
62,100,0,6,0,100,100,0,100,100,0.0432542043,47.3821413888,31.0402067379,1.0000000000,1.6000000000,250.0000000000
63,100,0,18,0,100,100,0,100,100,0.0403708581,47.3417705307,29.1201590949,1.0000000000,1.6000000000,250.0000000000
64,100,0,25,0,100,100,0,100,100,0.0395201980,47.3022503327,28.0001595365,1.0000000000,1.6000000000,250.0000000000
65,100,0,30,0,100,100,0,100,100,0.0386335871,47.2636167456,27.2001513259,1.0000000000,1.6000000000,250.0000000000
66,100,0,6,0,100,100,0,100,100,0.0433814166,47.2202353290,31.0401750233,1.0000000000,1.6000000000,250.0000000000
67,100,0,6,0,100,100,0,100,100,0.0436102021,47.1766251269,31.0402253841,1.0000000000,1.6000000000,250.0000000000
68,100,0,6,0,100,100,0,100,100,0.0452181191,47.1314070078,31.0402497249,1.0000000000,1.6000000000,250.0000000000
69,100,0,10,0,100,100,0,100,100,0.0422059335,47.0892010744,30.4001746050,1.0000000000,1.6000000000,250.0000000000
70,100,0,6,0,100,100,0,100,100,0.0453620616,47.0438390128,31.0402393319,1.0000000000,1.6000000000,250.0000000000
71,100,0,12,0,100,100,0,100,100,0.0418081828,47.0020308300,30.0801559318,1.0000000000,1.6000000000,250.0000000000
72,100,0,11,0,100,100,0,100,100,0.0430309392,46.9589998908,30.2401600020,1.0000000000,1.6000000000,250.0000000000
73,100,0,20,0,100,100,0,100,100,0.0398575793,46.9191423115,28.8001539341,1.0000000000,1.6000000000,250.0000000000
74,100,0,15,0,100,100,0,100,100,0.0420189722,46.8771233393,29.6001682481,1.0000000000,1.6000000000,250.0000000000
75,100,0,29,0,100,100,0,100,100,0.0386770639,46.8384462755,27.3601518989,1.0000000000,1.6000000000,250.0000000000
76,100,0,49,0,100,100,0,100,100,0.0359803127,46.8024659627,24.1601466782,1.0000000000,1.6000000000,250.0000000000
77,100,0,6,0,100,100,0,100,100,0.0433939097,46.7590720530,31.0401975074,1.0000000000,1.6000000000,250.0000000000
78,100,0,8,0,100,100,0,100,100,0.0433618473,46.7157102057,30.7201817667,1.0000000000,1.6000000000,250.0000000000
79,100,0,3,0,100,100,0,100,100,0.0489998087,46.6667103970,31.5203111307,1.0000000000,1.6000000000,250.0000000000
80,100,0,9,0,100,100,0,100,100,0.0428105052,46.6238998917,30.5601904480,1.0000000000,1.6000000000,250.0000000000
81,100,0,9,0,100,100,0,100,100,0.0425911870,46.5813087048,30.5601739935,1.0000000000,1.6000000000,250.0000000000
82,100,0,8,0,100,100,0,100,100,0.0427201031,46.5385886017,30.7202092110,1.0000000000,1.6000000000,250.0000000000
83,100,0,14,0,100,100,0,100,100,0.0419574390,46.4966311626,29.7601830974,1.0000000000,1.6000000000,250.0000000000
84,100,0,19,0,100,100,0,100,100,0.0403533981,46.4562777646,28.9601630407,1.0000000000,1.6000000000,250.0000000000
85,100,0,17,0,100,100,0,100,100,0.0402793085,46.4159984561,29.2801541145,1.0000000000,1.6000000000,250.0000000000
86,100,0,29,0,100,100,0,100,100,0.0392711985,46.3767272576,27.3601676092,1.0000000000,1.6000000000,250.0000000000
87,100,0,44,0,100,100,0,100,100,0.0369527528,46.3397745048,24.9601482786,1.0000000000,1.6000000000,250.0000000000
88,100,0,4,0,100,100,0,100,100,0.0495283093,46.2902461956,31.3602891583,1.0000000000,1.6000000000,250.0000000000
89,100,0,1,0,100,100,0,100,100,0.0627299222,46.2275162734,31.8403796302,1.0000000000,1.6000000000,250.0000000000
90,100,0,8,0,100,100,0,100,100,0.0427311504,46.1847851230,30.7202065364,1.0000000000,1.6000000000,250.0000000000
91,100,0,9,0,100,100,0,100,100,0.0424871594,46.1422979636,30.5601666305,1.0000000000,1.6000000000,250.0000000000
92,100,0,10,0,100,100,0,100,100,0.0417872117,46.1005107518,30.4001752004,1.0000000000,1.6000000000,250.0000000000
93,100,0,11,0,100,100,0,100,100,0.0421099270,46.0584008248,30.2401807136,1.0000000000,1.6000000000,250.0000000000
94,100,0,7,0,100,100,0,100,100,0.0423479442,46.0160528806,30.8801838323,1.0000000000,1.6000000000,250.0000000000
95,100,0,16,0,100,100,0,100,100,0.0404760610,45.9755768196,29.4401487182,1.0000000000,1.6000000000,250.0000000000
96,100,0,20,0,100,100,0,100,100,0.0399083881,45.9356684314,28.8001505572,1.0000000000,1.6000000000,250.0000000000
97,100,0,29,0,100,100,0,100,100,0.0388941354,45.8967742960,27.3601538437,1.0000000000,1.6000000000,250.0000000000
98,100,0,50,0,100,100,0,100,100,0.0356577932,45.8611165028,24.0001426967,1.0000000000,1.6000000000,250.0000000000
99,100,0,4,0,100,100,0,100,100,0.0485330756,45.8125834272,31.3602621050,1.0000000000,1.6000000000,250.0000000000
100,100,0,5,0,100,100,0,100,100,0.0444795154,45.7681039118,31.2002196453,1.0000000000,1.6000000000,250.0000000000
101,100,0,5,0,100,100,0,100,100,0.0441491968,45.7239547150,31.2001652481,1.0000000000,1.6000000000,250.0000000000
102,100,0,11,0,100,100,0,100,100,0.0420137339,45.6819409812,30.2401765093,1.0000000000,1.6000000000,250.0000000000
103,100,0,12,0,100,100,0,100,100,0.0417344824,45.6402064988,30.0801700117,1.0000000000,1.6000000000,250.0000000000
104,100,0,9,0,100,100,0,100,100,0.0439907713,45.5962157275,30.5602045314,1.0000000000,1.6000000000,250.0000000000
105,100,0,15,0,100,100,0,100,100,0.0407134837,45.5555022438,29.6001605359,1.0000000000,1.6000000000,250.0000000000
106,100,0,16,0,100,100,0,100,100,0.0404053037,45.5150969401,29.4401554497,1.0000000000,1.6000000000,250.0000000000
107,100,0,13,0,100,100,0,100,100,0.0413314160,45.4737655241,29.9201712416,1.0000000000,1.6000000000,250.0000000000
108,100,0,30,0,100,100,0,100,100,0.0381264759,45.4356390482,27.2001484188,1.0000000000,1.6000000000,250.0000000000
