Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
980,98,2,2,98,98,0,0,100,386,99,99,0.0307161713,11.0865737070,49.0000000000,18.2863522453,1.0000000000,0.8720000000,224.7706422018
981,98,2,1,98,98,0,0,99,291,98,98,0.0315308704,11.0550428366,98.0000000000,15.9189839871,1.0000000000,0.8632000000,227.0620945320
982,98,2,2,98,98,0,0,100,386,99,99,0.0302601328,11.0247827038,49.0000000000,20.2455796022,1.0000000000,0.8720000000,224.7706422018
983,98,2,1,98,98,0,0,99,291,98,98,0.0300971185,10.9946855853,98.0000000000,15.9189785762,1.0000000000,0.8632000000,227.0620945320
984,98,2,1,98,98,0,0,99,291,98,98,0.0323247128,10.9623608725,98.0000000000,15.9190432120,1.0000000000,0.8632000000,227.0620945320
985,98,2,1,98,98,0,0,99,291,98,98,0.0381855745,10.9241752980,98.0000000000,15.9192119983,1.0000000000,0.8632000000,227.0620945320
986,98,2,1,98,98,0,0,99,291,98,98,0.0380068258,10.8861684721,98.0000000000,15.9192040593,1.0000000000,0.8632000000,227.0620945320
987,98,2,1,98,98,0,0,99,291,98,98,0.0338771234,10.8522913487,98.0000000000,15.9191119715,1.0000000000,0.8632000000,227.0620945320
988,97,3,1,98,97,1,0,99,291,97,97,0.0368466413,10.8154447074,97.0000000000,15.9183401046,0.9897959184,0.8552000000,226.8475210477
989,97,3,2,97,97,0,0,99,382,98,98,0.0303342679,10.7851104395,48.5000000000,20.3717597706,1.0000000000,0.8632000000,224.7451343837
990,97,3,1,97,97,0,0,98,288,97,97,0.0325840991,10.7525263404,97.0000000000,15.9182571904,1.0000000000,0.8544000000,227.0599250936
991,97,3,2,97,97,0,0,99,382,97,97,0.0305385690,10.7219877714,48.5000000000,15.8356553826,1.0000000000,0.8552000000,226.8475210477
992,97,3,1,97,97,0,0,98,288,97,97,0.0394810787,10.6825066927,97.0000000000,15.9183845615,1.0000000000,0.8544000000,227.0599250936
993,97,3,2,97,97,0,0,99,382,98,98,0.0344771687,10.6480295241,48.5000000000,19.5470830448,1.0000000000,0.8632000000,224.7451343837
994,97,3,3,97,97,0,0,100,476,99,99,0.0329510267,10.6150784974,32.3333333333,20.7017235988,1.0000000000,0.8720000000,222.4770642202
995,96,4,1,97,96,1,0,98,288,96,96,0.0391241272,10.5759543701,96.0000000000,15.9175039704,0.9896907216,0.8464000000,226.8431001890
996,96,4,1,96,96,0,0,97,285,96,96,0.0409346938,10.5350196763,96.0000000000,15.9175421314,1.0000000000,0.8456000000,227.0577105014
997,96,4,2,96,96,0,0,98,378,97,97,0.0308535015,10.5041661749,48.0000000000,18.0839576748,1.0000000000,0.8544000000,224.7191011236
998,96,4,2,96,96,0,0,98,378,96,96,0.0328714266,10.4712947483,48.0000000000,15.8340284682,1.0000000000,0.8464000000,226.8431001890
999,96,4,1,96,96,0,0,97,285,96,96,0.0307518572,10.4405428910,96.0000000000,15.9173142120,1.0000000000,0.8456000000,227.0577105014
1000,96,4,1,96,96,0,0,97,285,96,96,0.0329953934,10.4075474976,96.0000000000,15.9173759228,1.0000000000,0.8456000000,227.0577105014
1001,96,4,2,96,96,0,0,98,378,97,97,0.0318985007,10.3756489970,48.0000000000,18.4173094555,1.0000000000,0.8544000000,224.7191011236
1002,96,4,1,96,96,0,0,97,285,96,96,0.0301674957,10.3454815013,96.0000000000,15.9173562353,1.0000000000,0.8456000000,227.0577105014
1003,95,5,1,96,95,1,0,97,285,95,95,0.0296443148,10.3158371864,95.0000000000,15.9164713830,0.9895833333,0.8376000000,226.8385864374
1004,95,5,2,95,95,0,0,97,374,96,96,0.0292007043,10.2866364822,47.5000000000,22.9059495332,1.0000000000,0.8456000000,224.6925260170
1005,95,5,1,95,95,0,0,96,282,95,95,0.0380638922,10.2485725900,95.0000000000,15.9166378269,1.0000000000,0.8368000000,227.0554493308
1006,95,5,1,95,95,0,0,96,282,95,95,0.0339506756,10.2146219144,95.0000000000,15.9166006553,1.0000000000,0.8368000000,227.0554493308
1007,95,5,3,95,95,0,0,98,466,96,96,0.0310328778,10.1835890365,31.6666666667,19.7901084007,1.0000000000,0.8464000000,224.4801512287
1008,95,5,1,95,95,0,0,96,282,95,95,0.0307025607,10.1528864758,95.0000000000,15.9164052974,1.0000000000,0.8368000000,227.0554493308
1009,94,6,1,94,94,0,0,95,280,94,94,0.0376670392,10.1152194366,94.0000000000,15.9157410645,1.0000000000,0.8280000000,227.0531400966
1010,94,6,2,94,94,0,0,96,370,95,95,0.0319775305,10.0832419061,47.0000000000,17.1070711613,1.0000000000,0.8368000000,224.6653919694
1011,94,6,2,94,94,0,0,96,370,94,94,0.0321747700,10.0510671361,47.0000000000,15.8304801757,1.0000000000,0.8288000000,226.8339768340
1012,94,6,1,94,94,0,0,95,279,94,94,0.0388671089,10.0122000272,94.0000000000,15.9157655615,1.0000000000,0.8280000000,227.0531400966
1013,94,6,1,94,94,0,0,95,279,94,94,0.0289232054,9.9832768218,94.0000000000,15.9154922460,1.0000000000,0.8280000000,227.0531400966
