Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected
39,100,0,3,100,100,0,0,0,0,0,100,100,0.0222539035,49.0694258500,33.3333333333,15.7601765007,1.0000000000,0.8000000000,250.0000000000,0,0
40,100,0,3,100,100,0,0,0,0,0,100,100,0.0222539035,49.0471719465,33.3333333333,15.7601765007,1.0000000000,0.8000000000,250.0000000000,0,0
41,100,0,6,100,100,0,0,1,106,782,100,100,0.0320318426,49.0151401039,16.6666666667,15.5201899589,1.0000000000,0.8848000000,226.0397830018,0,0
42,100,0,6,100,100,0,0,0,0,0,100,100,0.0223380765,48.9928020274,16.6666666667,15.5201899589,1.0000000000,0.8000000000,250.0000000000,0,0
43,100,0,6,100,100,0,0,0,0,0,100,100,0.0223380765,48.9704639509,16.6666666667,15.5201899589,1.0000000000,0.8000000000,250.0000000000,0,0
44,100,0,6,100,100,0,0,0,0,0,100,100,0.0223380765,48.9481258744,16.6666666667,15.5201899589,1.0000000000,0.8000000000,250.0000000000,0,0
45,100,0,6,100,100,0,0,0,0,0,100,100,0.0223380765,48.9257877979,16.6666666667,15.5201899589,1.0000000000,0.8000000000,250.0000000000,0,0
46,100,0,9,100,100,0,0,1,109,1073,100,100,0.0339126801,48.8918751177,11.1111111111,15.2801758504,1.0000000000,0.8872000000,225.4283137962,0,0
47,100,0,9,100,100,0,0,0,0,0,100,100,0.0210752743,48.8707998435,11.1111111111,15.2801758504,1.0000000000,0.8000000000,250.0000000000,0,0
48,100,0,9,100,100,0,0,0,0,0,100,100,0.0210752743,48.8497245692,11.1111111111,15.2801758504,1.0000000000,0.8000000000,250.0000000000,0,0
49,100,0,9,100,100,0,0,0,0,0,100,100,0.0210752743,48.8286492949,11.1111111111,15.2801758504,1.0000000000,0.8000000000,250.0000000000,0,0
50,100,0,9,100,100,0,0,0,0,0,100,100,0.0210752743,48.8075740206,11.1111111111,15.2801758504,1.0000000000,0.8000000000,250.0000000000,0,0
51,100,0,3,100,100,0,0,1,103,491,100,100,0.0306877341,48.7768862865,33.3333333333,15.7602224199,1.0000000000,0.8824000000,226.6545784225,0,0
52,100,0,3,100,100,0,0,0,0,0,100,100,0.0240807522,48.7528055343,33.3333333333,15.7602224199,1.0000000000,0.8000000000,250.0000000000,0,0
53,100,0,3,100,100,0,0,0,0,0,100,100,0.0240807522,48.7287247820,33.3333333333,15.7602224199,1.0000000000,0.8000000000,250.0000000000,0,0
54,100,0,3,100,100,0,0,0,0,0,100,100,0.0240807522,48.7046440298,33.3333333333,15.7602224199,1.0000000000,0.8000000000,250.0000000000,0,0
55,100,0,3,100,100,0,0,0,0,0,100,100,0.0240807522,48.6805632776,33.3333333333,15.7602224199,1.0000000000,0.8000000000,250.0000000000,0,0
56,100,0,6,100,100,0,0,1,106,782,100,100,0.0312529009,48.6493103767,16.6666666667,15.5201807564,1.0000000000,0.8848000000,226.0397830018,0,0
57,100,0,6,100,100,0,0,0,0,0,100,100,0.0216269090,48.6276834676,16.6666666667,15.5201807564,1.0000000000,0.8000000000,250.0000000000,0,0
58,100,0,6,100,100,0,0,0,0,0,100,100,0.0216269090,48.6060565586,16.6666666667,15.5201807564,1.0000000000,0.8000000000,250.0000000000,0,0
59,100,0,6,100,100,0,0,0,0,0,100,100,0.0216269090,48.5844296496,16.6666666667,15.5201807564,1.0000000000,0.8000000000,250.0000000000,0,0
60,100,0,6,100,100,0,0,0,0,0,100,100,0.0216269090,48.5628027405,16.6666666667,15.5201807564,1.0000000000,0.8000000000,250.0000000000,0,0
61,100,0,3,100,100,0,0,1,103,491,100,100,0.0289662912,48.5338364493,33.3333333333,15.7602327905,1.0000000000,0.8824000000,226.6545784225,0,0
62,100,0,3,100,100,0,0,0,0,0,100,100,0.0225317475,48.5113047017,33.3333333333,15.7602327905,1.0000000000,0.8000000000,250.0000000000,0,0
63,100,0,3,100,100,0,0,0,0,0,100,100,0.0225317475,48.4887729542,33.3333333333,15.7602327905,1.0000000000,0.8000000000,250.0000000000,0,0
64,100,0,3,100,100,0,0,0,0,0,100,100,0.0225317475,48.4662412066,33.3333333333,15.7602327905,1.0000000000,0.8000000000,250.0000000000,0,0
65,100,0,3,100,100,0,0,0,0,0,100,100,0.0225317475,48.4437094591,33.3333333333,15.7602327905,1.0000000000,0.8000000000,250.0000000000,0,0
66,100,0,2,100,100,0,0,1,102,394,100,100,0.0289905313,48.4147189278,50.0000000000,15.8401513848,1.0000000000,0.8816000000,226.8602540835,0,0
67,100,0,2,100,100,0,0,0,0,0,100,100,0.0235349393,48.3911839885,50.0000000000,15.8401513848,1.0000000000,0.8000000000,250.0000000000,0,0
68,100,0,2,100,100,0,0,0,0,0,100,100,0.0235349393,48.3676490492,50.0000000000,15.8401513848,1.0000000000,0.8000000000,250.0000000000,0,0
69,100,0,2,100,100,0,0,0,0,0,100,100,0.0235349393,48.3441141100,50.0000000000,15.8401513848,1.0000000000,0.8000000000,250.0000000000,0,0
70,100,0,2,100,100,0,0,0,0,0,100,100,0.0235349393,48.3205791707,50.0000000000,15.8401513848,1.0000000000,0.8000000000,250.0000000000,0,0
71,100,0,4,100,100,0,0,1,104,588,100,100,0.0300638758,48.2905152949,25.0000000000,15.6802024938,1.0000000000,0.8832000000,226.4492753623,0,0
72,100,0,4,100,100,0,0,0,0,0,100,100,0.0225318938,48.2679834011,25.0000000000,15.6802024938,1.0000000000,0.8000000000,250.0000000000,0,0
73,100,0,4,100,100,0,0,0,0,0,100,100,0.0225318938,48.2454515074,25.0000000000,15.6802024938,1.0000000000,0.8000000000,250.0000000000,0,0
74,100,0,4,100,100,0,0,0,0,0,100,100,0.0225318938,48.2229196136,25.0000000000,15.6802024938,1.0000000000,0.8000000000,250.0000000000,0,0
75,100,0,4,100,100,0,0,0,0,0,100,100,0.0225318938,48.2003877198,25.0000000000,15.6802024938,1.0000000000,0.8000000000,250.0000000000,0,0
76,100,0,1,100,100,0,0,1,101,297,100,100,0.0325922453,48.1677954746,100.0000000000,15.9203173949,1.0000000000,0.8808000000,227.0663033606,0,0
77,100,0,1,100,100,0,0,0,0,0,100,100,0.0277967221,48.1399987525,100.0000000000,15.9203173949,1.0000000000,0.8000000000,250.0000000000,0,0
78,100,0,1,100,100,0,0,0,0,0,100,100,0.0277967221,48.1122020304,100.0000000000,15.9203173949,1.0000000000,0.8000000000,250.0000000000,0,0
79,100,0,1,100,100,0,0,0,0,0,100,100,0.0277967221,48.0844053083,100.0000000000,15.9203173949,1.0000000000,0.8000000000,250.0000000000,0,0
80,100,0,1,100,100,0,0,0,0,0,100,100,0.0277967221,48.0566085863,100.0000000000,15.9203173949,1.0000000000,0.8000000000,250.0000000000,0,0
81,100,0,1,100,100,0,0,1,101,297,100,100,0.0345922635,48.0220163228,100.0000000000,15.9203407015,1.0000000000,0.8808000000,227.0663033606,0,0
82,100,0,1,100,100,0,0,0,0,0,100,100,0.0296081372,47.9924081856,100.0000000000,15.9203407015,1.0000000000,0.8000000000,250.0000000000,0,0
83,100,0,1,100,100,0,0,0,0,0,100,100,0.0296081372,47.9628000484,100.0000000000,15.9203407015,1.0000000000,0.8000000000,250.0000000000,0,0
84,100,0,1,100,100,0,0,0,0,0,100,100,0.0296081372,47.9331919113,100.0000000000,15.9203407015,1.0000000000,0.8000000000,250.0000000000,0,0
85,100,0,1,100,100,0,0,0,0,0,100,100,0.0296081372,47.9035837741,100.0000000000,15.9203407015,1.0000000000,0.8000000000,250.0000000000,0,0
86,100,0,1,100,100,0,0,1,101,297,100,100,0.0299886215,47.8735951526,100.0000000000,15.9202069402,1.0000000000,0.8808000000,227.0663033606,0,0
87,100,0,1,100,100,0,0,0,0,0,100,100,0.0254386200,47.8481565326,100.0000000000,15.9202069402,1.0000000000,0.8000000000,250.0000000000,0,0
88,100,0,1,100,100,0,0,0,0,0,100,100,0.0254386200,47.8227179126,100.0000000000,15.9202069402,1.0000000000,0.8000000000,250.0000000000,0,0
89,100,0,1,100,100,0,0,0,0,0,100,100,0.0254386200,47.7972792926,100.0000000000,15.9202069402,1.0000000000,0.8000000000,250.0000000000,0,0
90,100,0,1,100,100,0,0,0,0,0,100,100,0.0254386200,47.7718406726,100.0000000000,15.9202069402,1.0000000000,0.8000000000,250.0000000000,0,0
91,100,0,5,100,100,0,0,1,105,685,100,100,0.0303859450,47.7414547276,20.0000000000,15.6002032620,1.0000000000,0.8840000000,226.2443438914,0,0
92,100,0,5,100,100,0,0,0,0,0,100,100,0.0218413396,47.7196133880,20.0000000000,15.6002032620,1.0000000000,0.8000000000,250.0000000000,0,0
93,100,0,5,100,100,0,0,0,0,0,100,100,0.0218413396,47.6977720484,20.0000000000,15.6002032620,1.0000000000,0.8000000000,250.0000000000,0,0
94,100,0,5,100,100,0,0,0,0,0,100,100,0.0218413396,47.6759307088,20.0000000000,15.6002032620,1.0000000000,0.8000000000,250.0000000000,0,0
95,100,0,5,100,100,0,0,0,0,0,100,100,0.0218413396,47.6540893692,20.0000000000,15.6002032620,1.0000000000,0.8000000000,250.0000000000,0,0
96,100,0,1,100,100,0,0,1,101,297,100,100,0.0336852790,47.6204040903,100.0000000000,15.9203315524,1.0000000000,0.8808000000,227.0663033606,0,0
97,100,0,1,100,100,0,0,0,0,0,100,100,0.0287886724,47.5916154179,100.0000000000,15.9203315524,1.0000000000,0.8000000000,250.0000000000,0,0
98,100,0,1,100,100,0,0,0,0,0,100,100,0.0287886724,47.5628267455,100.0000000000,15.9203315524,1.0000000000,0.8000000000,250.0000000000,0,0
99,100,0,1,100,100,0,0,0,0,0,100,100,0.0287886724,47.5340380731,100.0000000000,15.9203315524,1.0000000000,0.8000000000,250.0000000000,0,0
100,100,0,1,100,100,0,0,0,0,0,100,100,0.0287886724,47.5052494007,100.0000000000,15.9203315524,1.0000000000,0.8000000000,250.0000000000,0,0
101,100,0,11,100,100,0,0,1,110,1267,100,100,0.0358599796,47.4693894211,9.0909090909,15.1201783648,1.0000000000,0.8880000000,225.2252252252,0,0
102,100,0,11,100,100,0,0,0,0,0,100,100,0.0208758024,47.4485136187,9.0909090909,15.1201783648,1.0000000000,0.8000000000,250.0000000000,0,0
103,100,0,11,100,100,0,0,0,0,0,100,100,0.0208758024,47.4276378164,9.0909090909,15.1201783648,1.0000000000,0.8000000000,250.0000000000,0,0
104,100,0,11,100,100,0,0,0,0,0,100,100,0.0208758024,47.4067620140,9.0909090909,15.1201783648,1.0000000000,0.8000000000,250.0000000000,0,0
105,100,0,11,100,100,0,0,0,0,0,100,100,0.0208758024,47.3858862117,9.0909090909,15.1201783648,1.0000000000,0.8000000000,250.0000000000,0,0
106,100,0,11,100,100,0,0,1,111,1267,100,100,0.0356620488,47.3502241628,9.0909090909,15.1201615180,1.0000000000,0.8888000000,225.0225022502,0,0
107,100,0,11,100,100,0,0,0,0,0,100,100,0.0206740648,47.3295500981,9.0909090909,15.1201615180,1.0000000000,0.8000000000,250.0000000000,0,0
108,100,0,11,100,100,0,0,0,0,0,100,100,0.0206740648,47.3088760333,9.0909090909,15.1201615180,1.0000000000,0.8000000000,250.0000000000,0,0
109,100,0,11,100,100,0,0,0,0,0,100,100,0.0206740648,47.2882019685,9.0909090909,15.1201615180,1.0000000000,0.8000000000,250.0000000000,0,0
110,100,0,11,100,100,0,0,0,0,0,100,100,0.0206740648,47.2675279038,9.0909090909,15.1201615180,1.0000000000,0.8000000000,250.0000000000,0,0
111,100,0,8,100,100,0,0,1,108,976,100,100,0.0334260932,47.2341018106,12.5000000000,15.3601999375,1.0000000000,0.8864000000,225.6317689531,0,0
112,100,0,8,100,100,0,0,0,0,0,100,100,0.0216345289,47.2124672817,12.5000000000,15.3601999375,1.0000000000,0.8000000000,250.0000000000,0,0
113,100,0,8,100,100,0,0,0,0,0,100,100,0.0216345289,47.1908327528,12.5000000000,15.3601999375,1.0000000000,0.8000000000,250.0000000000,0,0
114,100,0,8,100,100,0,0,0,0,0,100,100,0.0216345289,47.1691982239,12.5000000000,15.3601999375,1.0000000000,0.8000000000,250.0000000000,0,0
115,100,0,8,100,100,0,0,0,0,0,100,100,0.0216345289,47.1475636950,12.5000000000,15.3601999375,1.0000000000,0.8000000000,250.0000000000,0,0
116,100,0,8,100,100,0,0,1,108,976,100,100,0.0329419407,47.1146217542,12.5000000000,15.3601833440,1.0000000000,0.8864000000,225.6317689531,0,0
117,100,0,8,100,100,0,0,0,0,0,100,100,0.0211894436,47.0934323106,12.5000000000,15.3601833440,1.0000000000,0.8000000000,250.0000000000,0,0
118,100,0,8,100,100,0,0,0,0,0,100,100,0.0211894436,47.0722428669,12.5000000000,15.3601833440,1.0000000000,0.8000000000,250.0000000000,0,0
119,100,0,8,100,100,0,0,0,0,0,100,100,0.0211894436,47.0510534233,12.5000000000,15.3601833440,1.0000000000,0.8000000000,250.0000000000,0,0
120,100,0,8,100,100,0,0,0,0,0,100,100,0.0211894436,47.0298639797,12.5000000000,15.3601833440,1.0000000000,0.8000000000,250.0000000000,0,0
121,100,0,4,100,100,0,0,1,104,588,100,100,0.0295285725,47.0003354071,25.0000000000,15.6801615124,1.0000000000,0.8832000000,226.4492753623,0,0
