Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
37,100,0,4,100,100,0,0,104,588,100,100,0.0323785108,48.7390283709,25.0000000000,15.6802399568,1.0000000000,0.8832000000,226.4492753623
38,100,0,6,100,100,0,0,106,782,100,100,0.0320819520,48.7069464189,16.6666666667,15.5202040642,1.0000000000,0.8848000000,226.0397830018
39,100,0,9,100,100,0,0,109,1073,100,100,0.0356124733,48.6713339456,11.1111111111,15.2801980362,1.0000000000,0.8872000000,225.4283137962
40,100,0,2,100,100,0,0,102,394,100,100,0.0349623356,48.6363716099,50.0000000000,15.8403199196,1.0000000000,0.8816000000,226.8602540835
41,100,0,2,100,100,0,0,102,394,100,100,0.0371746258,48.5991969841,50.0000000000,15.8403341169,1.0000000000,0.8816000000,226.8602540835
42,100,0,2,100,100,0,0,102,394,100,100,0.0376076579,48.5615893262,50.0000000000,15.8403534973,1.0000000000,0.8816000000,226.8602540835
43,100,0,3,100,100,0,0,103,491,100,100,0.0306854535,48.5309038727,33.3333333333,15.7602198335,1.0000000000,0.8824000000,226.6545784225
44,100,0,2,100,100,0,0,102,394,100,100,0.0315384955,48.4993653771,50.0000000000,15.8402348368,1.0000000000,0.8816000000,226.8602540835
45,100,0,5,100,100,0,0,105,685,100,100,0.0328880346,48.4664773425,20.0000000000,15.6002465753,1.0000000000,0.8840000000,226.2443438914
46,100,0,7,100,100,0,0,107,879,100,100,0.0336509075,48.4328264349,14.2857142857,15.4402290490,1.0000000000,0.8856000000,225.8355916893
47,100,0,2,100,100,0,0,102,394,100,100,0.0324573867,48.4003690483,50.0000000000,15.8402664857,1.0000000000,0.8816000000,226.8602540835
48,100,0,4,100,100,0,0,104,588,100,100,0.0305427982,48.3698262500,25.0000000000,15.6802117050,1.0000000000,0.8832000000,226.4492753623
49,100,0,14,100,100,0,0,114,1558,100,100,0.0393749480,48.3304513020,7.1428571429,14.8801835128,1.0000000000,0.8912000000,224.4165170557
50,100,0,3,100,100,0,0,103,491,100,100,0.0331187972,48.2973325048,33.3333333333,15.7602951848,1.0000000000,0.8824000000,226.6545784225
51,100,0,3,100,100,0,0,103,491,100,100,0.0323659202,48.2649665846,33.3333333333,15.7602572524,1.0000000000,0.8824000000,226.6545784225
52,100,0,2,100,100,0,0,102,394,100,100,0.0346951858,48.2302713988,50.0000000000,15.8403160322,1.0000000000,0.8816000000,226.8602540835
53,100,0,2,100,100,0,0,102,394,100,100,0.0352007930,48.1950706058,50.0000000000,15.8403092152,1.0000000000,0.8816000000,226.8602540835
54,100,0,5,100,100,0,0,105,685,100,100,0.0316794743,48.1633911315,20.0000000000,15.6002392160,1.0000000000,0.8840000000,226.2443438914
55,100,0,2,100,100,0,0,102,394,100,100,0.0341148683,48.1292762632,50.0000000000,15.8402910273,1.0000000000,0.8816000000,226.8602540835
56,100,0,2,100,100,0,0,102,394,100,100,0.0344761868,48.0948000764,50.0000000000,15.8403076772,1.0000000000,0.8816000000,226.8602540835
57,100,0,2,100,100,0,0,102,394,100,100,0.0327289712,48.0620711052,50.0000000000,15.8402652096,1.0000000000,0.8816000000,226.8602540835
58,100,0,4,100,100,0,0,104,588,100,100,0.0316831258,48.0303879794,25.0000000000,15.6802471827,1.0000000000,0.8832000000,226.4492753623
59,100,0,17,100,100,0,0,117,1849,100,100,0.0416624136,47.9887255658,5.8823529412,14.6401561742,1.0000000000,0.8936000000,223.8137869293
60,100,0,2,100,100,0,0,102,394,100,100,0.0337564511,47.9549691147,50.0000000000,15.8402944058,1.0000000000,0.8816000000,226.8602540835
61,100,0,2,100,100,0,0,102,394,100,100,0.0314465958,47.9235225189,50.0000000000,15.8402261967,1.0000000000,0.8816000000,226.8602540835
62,100,0,2,100,100,0,0,102,394,100,100,0.0365860382,47.8869364807,50.0000000000,15.8403286726,1.0000000000,0.8816000000,226.8602540835
63,100,0,3,100,100,0,0,103,491,100,100,0.0354305059,47.8515059748,33.3333333333,15.7603034613,1.0000000000,0.8824000000,226.6545784225
64,100,0,3,100,100,0,0,103,491,100,100,0.0313635828,47.8201423920,33.3333333333,15.7602368238,1.0000000000,0.8824000000,226.6545784225
65,100,0,2,100,100,0,0,102,394,100,100,0.0350214836,47.7851209084,50.0000000000,15.8403230364,1.0000000000,0.8816000000,226.8602540835
66,100,0,2,100,100,0,0,102,394,100,100,0.0328600217,47.7522608867,50.0000000000,15.8402847491,1.0000000000,0.8816000000,226.8602540835
67,100,0,8,100,100,0,0,108,976,100,100,0.0334973664,47.7187635203,12.5000000000,15.3601957777,1.0000000000,0.8864000000,225.6317689531
68,100,0,4,100,100,0,0,104,588,100,100,0.0299744906,47.6887890297,25.0000000000,15.6802078751,1.0000000000,0.8832000000,226.4492753623
69,100,0,8,100,100,0,0,107,976,100,100,0.0341595297,47.6546295000,12.5000000000,15.3602005433,1.0000000000,0.8856000000,225.8355916893
70,100,0,2,100,100,0,0,102,394,100,100,0.0336328817,47.6209966183,50.0000000000,15.8402871640,1.0000000000,0.8816000000,226.8602540835
71,100,0,3,100,100,0,0,103,491,100,100,0.0296767917,47.5913198266,33.3333333333,15.7602081369,1.0000000000,0.8824000000,226.6545784225
72,100,0,2,100,100,0,0,102,394,100,100,0.0352134754,47.5561063512,50.0000000000,15.8403058705,1.0000000000,0.8816000000,226.8602540835
73,100,0,2,100,100,0,0,102,394,100,100,0.0367916576,47.5193146936,50.0000000000,15.8403406160,1.0000000000,0.8816000000,226.8602540835
74,100,0,4,100,100,0,0,104,588,100,100,0.0305355039,47.4887791897,25.0000000000,15.6801875492,1.0000000000,0.8832000000,226.4492753623
75,100,0,3,100,100,0,0,103,491,100,100,0.0310435910,47.4577355987,33.3333333333,15.7602415890,1.0000000000,0.8824000000,226.6545784225
76,100,0,4,100,100,0,0,104,588,100,100,0.0313422120,47.4263933866,25.0000000000,15.6802410770,1.0000000000,0.8832000000,226.4492753623
77,100,0,9,100,100,0,0,109,1073,100,100,0.0362201634,47.3901732232,11.1111111111,15.2802333824,1.0000000000,0.8872000000,225.4283137962
