Round,Alive,Dead,CH_Count,FallbackUsed,Generated,Delivered,Lost,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
44,100,0,11,0,100,100,0,100,100,0.0356782679,48.4708387486,15.1201674562,1.0000000000,0.8000000000,250.0000000000
45,100,0,9,0,100,100,0,100,100,0.0337746708,48.4370640778,15.2801782599,1.0000000000,0.8000000000,250.0000000000
46,100,0,8,0,100,100,0,100,100,0.0330287387,48.4040353391,15.3601790385,1.0000000000,0.8000000000,250.0000000000
47,100,0,12,0,100,100,0,100,100,0.0374997663,48.3665355728,15.0402004552,1.0000000000,0.8000000000,250.0000000000
48,100,0,8,0,100,100,0,100,100,0.0332857718,48.3332498011,15.3601903479,1.0000000000,0.8000000000,250.0000000000
49,100,0,13,0,100,100,0,100,100,0.0375985020,48.2956512991,14.9601585981,1.0000000000,0.8000000000,250.0000000000
50,100,0,1,0,100,100,0,100,100,0.0304065818,48.2652447173,15.9202271728,1.0000000000,0.8000000000,250.0000000000
51,100,0,3,0,100,100,0,100,100,0.0318491318,48.2333955855,15.7602739388,1.0000000000,0.8000000000,250.0000000000
52,100,0,8,0,100,100,0,100,100,0.0332196326,48.2001759529,15.3601910482,1.0000000000,0.8000000000,250.0000000000
53,100,0,6,0,100,100,0,100,100,0.0313259001,48.1688500528,15.5201990303,1.0000000000,0.8000000000,250.0000000000
54,100,0,6,0,100,100,0,100,100,0.0314277277,48.1374223251,15.5201575014,1.0000000000,0.8000000000,250.0000000000
55,100,0,12,0,100,100,0,100,100,0.0367070408,48.1007152843,15.0401682919,1.0000000000,0.8000000000,250.0000000000
56,100,0,10,0,100,100,0,100,100,0.0348624643,48.0658528200,15.2001808994,1.0000000000,0.8000000000,250.0000000000
57,100,0,5,0,100,100,0,100,100,0.0302893855,48.0355634345,15.6001997841,1.0000000000,0.8000000000,250.0000000000
58,100,0,15,0,100,100,0,100,100,0.0402029950,47.9953604395,14.8001944016,1.0000000000,0.8000000000,250.0000000000
59,100,0,12,0,100,100,0,100,100,0.0371697857,47.9581906538,15.0401573842,1.0000000000,0.8000000000,250.0000000000
