Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,HEED_Iterations,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
752,54,46,10,54,54,0,0,6,141,797,54,54,0.0349720237,5.5153066039,5.4000000000,14.5190084941,1.0000000000,0.5448000000,198.2378854626
753,53,47,9,54,53,1,0,6,146,842,53,53,0.0314337996,5.4838728043,6.0000000000,14.7929480003,0.9814814815,0.5408000000,196.0059171598
754,53,47,9,53,53,0,0,6,145,859,53,53,0.0325284547,5.4513443496,5.8888888889,14.6419917617,1.0000000000,0.5400000000,196.2962962963
755,53,47,10,53,52,1,0,6,136,816,52,52,0.0316300540,5.4197142956,5.3000000000,14.4620310218,0.9811320755,0.5248000000,198.1707317073
756,52,48,9,52,52,0,0,6,143,833,52,52,0.0316945242,5.3880197714,5.7777777778,14.6158737454,1.0000000000,0.5304000000,196.0784313725
757,52,48,8,52,52,0,0,6,138,815,52,52,0.0319175083,5.3561022631,6.5000000000,14.7697215357,1.0000000000,0.5264000000,197.5683890578
758,52,48,9,52,52,0,0,6,140,813,52,52,0.0324624477,5.3236398154,5.7777777778,14.6158742101,1.0000000000,0.5280000000,196.9696969697
759,52,48,9,52,52,0,0,6,140,794,52,52,0.0313152610,5.2923245544,5.7777777778,14.6158698391,1.0000000000,0.5280000000,196.9696969697
760,52,48,8,52,52,0,0,6,137,829,52,52,0.0317262359,5.2605983185,6.5000000000,14.7697386139,1.0000000000,0.5256000000,197.8691019787
761,52,48,9,52,52,0,0,6,143,845,52,52,0.0330165103,5.2275818082,5.7777777778,14.6158709291,1.0000000000,0.5304000000,196.0784313725
762,52,48,9,52,52,0,0,6,138,810,52,52,0.0322103656,5.1953714426,5.7777777778,14.6158754002,1.0000000000,0.5264000000,197.5683890578
763,52,48,9,52,52,0,0,6,135,784,52,52,0.0319290549,5.1634423877,5.7777777778,14.6158680172,1.0000000000,0.5240000000,198.4732824427
764,52,48,10,52,52,0,0,6,132,753,52,52,0.0305982623,5.1328441254,5.2000000000,14.4620160348,1.0000000000,0.5216000000,199.3865030675
765,52,48,10,52,52,0,0,6,143,862,52,52,0.0368075256,5.0960365997,5.2000000000,14.4620339997,1.0000000000,0.5304000000,196.0784313725
766,52,48,9,52,52,0,0,6,135,777,52,52,0.0315905916,5.0644460082,5.7777777778,14.6158798853,1.0000000000,0.5240000000,198.4732824427
767,52,48,9,52,52,0,0,6,143,835,52,52,0.0323844419,5.0320615663,5.7777777778,14.6158769376,1.0000000000,0.5304000000,196.0784313725
768,51,49,9,52,38,14,0,6,139,821,39,39,0.0282333003,5.0038282659,4.3333333333,14.3162691304,0.7307692308,0.4232000000,179.5841209830
769,51,49,9,51,51,0,0,6,139,769,51,51,0.0311436318,4.9726846341,5.6666666667,14.5887242827,1.0000000000,0.5192000000,196.4560862866
770,51,49,9,51,51,0,0,6,135,757,51,51,0.0307675859,4.9419170482,5.6666666667,14.5887309812,1.0000000000,0.5160000000,197.6744186047
771,51,49,10,51,51,0,0,6,134,763,51,51,0.0323201526,4.9095968956,5.1000000000,14.4318533720,1.0000000000,0.5152000000,197.9813664596
772,51,49,9,51,51,0,0,6,134,743,51,51,0.0309625437,4.8786343519,5.6666666667,14.5887254419,1.0000000000,0.5152000000,197.9813664596
773,51,49,9,51,50,1,0,6,129,731,50,50,0.0307264985,4.8479078534,5.6666666667,14.5604925310,0.9803921569,0.5032000000,198.7281399046
774,49,51,8,50,47,3,0,6,133,763,49,49,0.0288518872,4.8190559662,6.0000000000,14.8089937008,0.9400000000,0.4984000000,188.6035313002
775,49,51,9,49,49,0,0,6,125,701,49,49,0.0295727795,4.7894831867,5.4444444444,14.5311075755,1.0000000000,0.4920000000,199.1869918699
776,49,51,9,49,48,1,0,6,133,702,48,48,0.0301027060,4.7593804807,5.4444444444,14.5004912826,0.9795918367,0.4904000000,195.7585644372
777,47,53,9,48,46,2,0,6,131,683,47,47,0.0279116453,4.7314688354,5.2222222222,14.6091672245,0.9583333333,0.4808000000,191.3477537438
778,46,54,9,47,46,1,0,6,122,648,46,46,0.0284366752,4.7030321602,5.2222222222,14.6091735512,0.9787234043,0.4656000000,197.5945017182
779,46,54,8,46,46,0,0,6,122,661,46,46,0.0252798567,4.6777523035,5.7500000000,14.6091745324,1.0000000000,0.4656000000,197.5945017182
780,46,54,9,46,46,0,0,6,123,686,46,46,0.0258406270,4.6519116765,5.1111111111,14.4352610306,1.0000000000,0.4664000000,197.2555746141
781,46,54,8,46,46,0,0,6,124,672,46,46,0.0257069782,4.6262046983,5.7500000000,14.6091671154,1.0000000000,0.4672000000,196.9178082192
