Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Rejected_Promotions,Partial_Promotions,Emergency_Promotions
39,100,0,6,100,100,0,0,0,0,0,100,100,0.0216133739,49.1185040632,16.6666666667,8.0000719756,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
40,100,0,6,100,100,0,0,0,0,0,100,100,0.0216133739,49.0968906894,16.6666666667,8.0000719756,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
41,100,0,6,100,100,0,0,1,106,782,100,100,0.0317579409,49.0651327485,16.6666666667,8.0000801268,1.0000000000,0.8848000000,226.0397830018,0,0,0,0
42,100,0,6,100,100,0,0,0,0,0,100,100,0.0220852771,49.0430474714,16.6666666667,8.0000801268,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
43,100,0,6,100,100,0,0,0,0,0,100,100,0.0220852771,49.0209621943,16.6666666667,8.0000801268,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
44,100,0,6,100,100,0,0,0,0,0,100,100,0.0220852771,48.9988769173,16.6666666667,8.0000801268,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
45,100,0,6,100,100,0,0,0,0,0,100,100,0.0220852771,48.9767916402,16.6666666667,8.0000801268,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
46,100,0,6,100,100,0,0,0,0,0,100,100,0.0220852771,48.9547063631,16.6666666667,8.0000801268,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
47,100,0,6,100,100,0,0,0,0,0,100,100,0.0220852771,48.9326210861,16.6666666667,8.0000801268,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
48,100,0,6,100,100,0,0,0,0,0,100,100,0.0220852771,48.9105358090,16.6666666667,8.0000801268,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
49,100,0,6,100,100,0,0,0,0,0,100,100,0.0220852771,48.8884505319,16.6666666667,8.0000801268,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
50,100,0,6,100,100,0,0,0,0,0,100,100,0.0220852771,48.8663652549,16.6666666667,8.0000801268,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
51,100,0,5,100,100,0,0,1,105,685,100,100,0.0306026863,48.8357625686,20.0000000000,8.0000830899,1.0000000000,0.8840000000,226.2443438914,0,0,0,0
52,100,0,5,100,100,0,0,0,0,0,100,100,0.0220294967,48.8137330719,20.0000000000,8.0000830899,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
53,100,0,5,100,100,0,0,0,0,0,100,100,0.0220294967,48.7917035753,20.0000000000,8.0000830899,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
54,100,0,5,100,100,0,0,0,0,0,100,100,0.0220294967,48.7696740786,20.0000000000,8.0000830899,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
55,100,0,5,100,100,0,0,0,0,0,100,100,0.0220294967,48.7476445819,20.0000000000,8.0000830899,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
56,100,0,5,100,100,0,0,0,0,0,100,100,0.0220294967,48.7256150853,20.0000000000,8.0000830899,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
57,100,0,5,100,100,0,0,0,0,0,100,100,0.0220294967,48.7035855886,20.0000000000,8.0000830899,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
58,100,0,5,100,100,0,0,0,0,0,100,100,0.0220294967,48.6815560919,20.0000000000,8.0000830899,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
59,100,0,5,100,100,0,0,0,0,0,100,100,0.0220294967,48.6595265953,20.0000000000,8.0000830899,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
60,100,0,5,100,100,0,0,0,0,0,100,100,0.0220294967,48.6374970986,20.0000000000,8.0000830899,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
61,100,0,10,100,100,0,0,1,110,1170,100,100,0.0351763096,48.6023207890,10.0000000000,8.0000700133,1.0000000000,0.8880000000,225.2252252252,0,0,0,0
62,100,0,10,100,100,0,0,0,0,0,100,100,0.0212412784,48.5810795107,10.0000000000,8.0000700133,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
63,100,0,10,100,100,0,0,0,0,0,100,100,0.0212412784,48.5598382323,10.0000000000,8.0000700133,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
64,100,0,10,100,100,0,0,0,0,0,100,100,0.0212412784,48.5385969539,10.0000000000,8.0000700133,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
65,100,0,10,100,100,0,0,0,0,0,100,100,0.0212412784,48.5173556755,10.0000000000,8.0000700133,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
66,100,0,10,100,100,0,0,0,0,0,100,100,0.0212412784,48.4961143971,10.0000000000,8.0000700133,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
67,100,0,10,100,100,0,0,0,0,0,100,100,0.0212412784,48.4748731187,10.0000000000,8.0000700133,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
68,100,0,10,100,100,0,0,0,0,0,100,100,0.0212412784,48.4536318404,10.0000000000,8.0000700133,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
69,100,0,10,100,100,0,0,0,0,0,100,100,0.0212412784,48.4323905620,10.0000000000,8.0000700133,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
70,100,0,10,100,100,0,0,0,0,0,100,100,0.0212412784,48.4111492836,10.0000000000,8.0000700133,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
71,100,0,3,100,100,0,0,1,103,491,100,100,0.0286687927,48.3824804909,33.3333333333,8.0000841843,1.0000000000,0.8824000000,226.6545784225,0,0,0,0
72,100,0,3,100,100,0,0,0,0,0,100,100,0.0222539035,48.3602265874,33.3333333333,8.0000841843,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
73,100,0,3,100,100,0,0,0,0,0,100,100,0.0222539035,48.3379726839,33.3333333333,8.0000841843,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
74,100,0,3,100,100,0,0,0,0,0,100,100,0.0222539035,48.3157187804,33.3333333333,8.0000841843,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
75,100,0,3,100,100,0,0,0,0,0,100,100,0.0222539035,48.2934648769,33.3333333333,8.0000841843,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
76,100,0,3,100,100,0,0,0,0,0,100,100,0.0222539035,48.2712109734,33.3333333333,8.0000841843,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
77,100,0,3,100,100,0,0,0,0,0,100,100,0.0222539035,48.2489570699,33.3333333333,8.0000841843,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
78,100,0,3,100,100,0,0,0,0,0,100,100,0.0222539035,48.2267031664,33.3333333333,8.0000841843,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
79,100,0,3,100,100,0,0,0,0,0,100,100,0.0222539035,48.2044492629,33.3333333333,8.0000841843,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
80,100,0,3,100,100,0,0,0,0,0,100,100,0.0222539035,48.1821953594,33.3333333333,8.0000841843,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
81,100,0,6,100,100,0,0,1,106,782,100,100,0.0320318426,48.1501635168,16.6666666667,8.0000894635,1.0000000000,0.8848000000,226.0397830018,0,0,0,0
82,100,0,6,100,100,0,0,0,0,0,100,100,0.0223380765,48.1278254403,16.6666666667,8.0000894635,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
83,100,0,6,100,100,0,0,0,0,0,100,100,0.0223380765,48.1054873638,16.6666666667,8.0000894635,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
84,100,0,6,100,100,0,0,0,0,0,100,100,0.0223380765,48.0831492873,16.6666666667,8.0000894635,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
85,100,0,6,100,100,0,0,0,0,0,100,100,0.0223380765,48.0608112108,16.6666666667,8.0000894635,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
86,100,0,6,100,100,0,0,0,0,0,100,100,0.0223380765,48.0384731343,16.6666666667,8.0000894635,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
87,100,0,6,100,100,0,0,0,0,0,100,100,0.0223380765,48.0161350578,16.6666666667,8.0000894635,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
88,100,0,6,100,100,0,0,0,0,0,100,100,0.0223380765,47.9937969813,16.6666666667,8.0000894635,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
89,100,0,6,100,100,0,0,0,0,0,100,100,0.0223380765,47.9714589048,16.6666666667,8.0000894635,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
90,100,0,6,100,100,0,0,0,0,0,100,100,0.0223380765,47.9491208283,16.6666666667,8.0000894635,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
91,100,0,9,100,100,0,0,1,109,1073,100,100,0.0339126801,47.9152081481,11.1111111111,8.0000615071,1.0000000000,0.8872000000,225.4283137962,0,0,0,0
92,100,0,9,100,100,0,0,0,0,0,100,100,0.0210752743,47.8941328738,11.1111111111,8.0000615071,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
93,100,0,9,100,100,0,0,0,0,0,100,100,0.0210752743,47.8730575995,11.1111111111,8.0000615071,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
94,100,0,9,100,100,0,0,0,0,0,100,100,0.0210752743,47.8519823252,11.1111111111,8.0000615071,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
95,100,0,9,100,100,0,0,0,0,0,100,100,0.0210752743,47.8309070509,11.1111111111,8.0000615071,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
96,100,0,9,100,100,0,0,0,0,0,100,100,0.0210752743,47.8098317767,11.1111111111,8.0000615071,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
97,100,0,9,100,100,0,0,0,0,0,100,100,0.0210752743,47.7887565024,11.1111111111,8.0000615071,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
98,100,0,9,100,100,0,0,0,0,0,100,100,0.0210752743,47.7676812281,11.1111111111,8.0000615071,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
99,100,0,9,100,100,0,0,0,0,0,100,100,0.0210752743,47.7466059538,11.1111111111,8.0000615071,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
100,100,0,9,100,100,0,0,0,0,0,100,100,0.0210752743,47.7255306795,11.1111111111,8.0000615071,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
101,100,0,3,100,100,0,0,1,103,491,100,100,0.0306877341,47.6948429454,33.3333333333,8.0001203096,1.0000000000,0.8824000000,226.6545784225,0,0,0,0
102,100,0,3,100,100,0,0,0,0,0,100,100,0.0240807522,47.6707621932,33.3333333333,8.0001203096,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
103,100,0,3,100,100,0,0,0,0,0,100,100,0.0240807522,47.6466814409,33.3333333333,8.0001203096,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
104,100,0,3,100,100,0,0,0,0,0,100,100,0.0240807522,47.6226006887,33.3333333333,8.0001203096,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
105,100,0,3,100,100,0,0,0,0,0,100,100,0.0240807522,47.5985199365,33.3333333333,8.0001203096,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
106,100,0,3,100,100,0,0,0,0,0,100,100,0.0240807522,47.5744391842,33.3333333333,8.0001203096,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
107,100,0,3,100,100,0,0,0,0,0,100,100,0.0240807522,47.5503584320,33.3333333333,8.0001203096,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
108,100,0,3,100,100,0,0,0,0,0,100,100,0.0240807522,47.5262776798,33.3333333333,8.0001203096,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
109,100,0,3,100,100,0,0,0,0,0,100,100,0.0240807522,47.5021969276,33.3333333333,8.0001203096,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
110,100,0,3,100,100,0,0,0,0,0,100,100,0.0240807522,47.4781161753,33.3333333333,8.0001203096,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
111,100,0,6,100,100,0,0,1,106,782,100,100,0.0312529009,47.4468632744,16.6666666667,8.0000734956,1.0000000000,0.8848000000,226.0397830018,0,0,0,0
112,100,0,6,100,100,0,0,0,0,0,100,100,0.0216269090,47.4252363654,16.6666666667,8.0000734956,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
113,100,0,6,100,100,0,0,0,0,0,100,100,0.0216269090,47.4036094563,16.6666666667,8.0000734956,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
114,100,0,6,100,100,0,0,0,0,0,100,100,0.0216269090,47.3819825473,16.6666666667,8.0000734956,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
115,100,0,6,100,100,0,0,0,0,0,100,100,0.0216269090,47.3603556383,16.6666666667,8.0000734956,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
116,100,0,6,100,100,0,0,0,0,0,100,100,0.0216269090,47.3387287293,16.6666666667,8.0000734956,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
117,100,0,6,100,100,0,0,0,0,0,100,100,0.0216269090,47.3171018202,16.6666666667,8.0000734956,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
118,100,0,6,100,100,0,0,0,0,0,100,100,0.0216269090,47.2954749112,16.6666666667,8.0000734956,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
119,100,0,6,100,100,0,0,0,0,0,100,100,0.0216269090,47.2738480022,16.6666666667,8.0000734956,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
120,100,0,6,100,100,0,0,0,0,0,100,100,0.0216269090,47.2522210931,16.6666666667,8.0000734956,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
121,100,0,3,100,100,0,0,1,103,491,100,100,0.0289662912,47.2232548019,33.3333333333,8.0000902438,1.0000000000,0.8824000000,226.6545784225,0,0,0,0
122,100,0,3,100,100,0,0,0,0,0,100,100,0.0225317475,47.2007230543,33.3333333333,8.0000902438,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
123,100,0,3,100,100,0,0,0,0,0,100,100,0.0225317475,47.1781913068,33.3333333333,8.0000902438,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
124,100,0,3,100,100,0,0,0,0,0,100,100,0.0225317475,47.1556595592,33.3333333333,8.0000902438,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
125,100,0,3,100,100,0,0,0,0,0,100,100,0.0225317475,47.1331278117,33.3333333333,8.0000902438,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
126,100,0,3,100,100,0,0,0,0,0,100,100,0.0225317475,47.1105960641,33.3333333333,8.0000902438,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
127,100,0,3,100,100,0,0,0,0,0,100,100,0.0225317475,47.0880643166,33.3333333333,8.0000902438,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
128,100,0,3,100,100,0,0,0,0,0,100,100,0.0225317475,47.0655325690,33.3333333333,8.0000902438,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
129,100,0,3,100,100,0,0,0,0,0,100,100,0.0225317475,47.0430008215,33.3333333333,8.0000902438,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
130,100,0,3,100,100,0,0,0,0,0,100,100,0.0225317475,47.0204690739,33.3333333333,8.0000902438,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
131,100,0,2,100,100,0,0,1,102,394,100,100,0.0289905313,46.9914785427,50.0000000000,8.0001133171,1.0000000000,0.8816000000,226.8602540835,0,0,0,0
132,100,0,2,100,100,0,0,0,0,0,100,100,0.0235349393,46.9679436034,50.0000000000,8.0001133171,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
133,100,0,2,100,100,0,0,0,0,0,100,100,0.0235349393,46.9444086641,50.0000000000,8.0001133171,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
134,100,0,2,100,100,0,0,0,0,0,100,100,0.0235349393,46.9208737248,50.0000000000,8.0001133171,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
135,100,0,2,100,100,0,0,0,0,0,100,100,0.0235349393,46.8973387856,50.0000000000,8.0001133171,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
136,100,0,2,100,100,0,0,0,0,0,100,100,0.0235349393,46.8738038463,50.0000000000,8.0001133171,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
137,100,0,2,100,100,0,0,0,0,0,100,100,0.0235349393,46.8502689070,50.0000000000,8.0001133171,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
138,100,0,2,100,100,0,0,0,0,0,100,100,0.0235349393,46.8267339677,50.0000000000,8.0001133171,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
139,100,0,2,100,100,0,0,0,0,0,100,100,0.0235349393,46.8031990284,50.0000000000,8.0001133171,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
140,100,0,2,100,100,0,0,0,0,0,100,100,0.0235349393,46.7796640892,50.0000000000,8.0001133171,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
141,100,0,4,100,100,0,0,1,104,588,100,100,0.0300638758,46.7496002134,25.0000000000,8.0000884648,1.0000000000,0.8832000000,226.4492753623,0,0,0,0
142,100,0,4,100,100,0,0,0,0,0,100,100,0.0225318938,46.7270683196,25.0000000000,8.0000884648,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
143,100,0,4,100,100,0,0,0,0,0,100,100,0.0225318938,46.7045364258,25.0000000000,8.0000884648,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
144,100,0,4,100,100,0,0,0,0,0,100,100,0.0225318938,46.6820045321,25.0000000000,8.0000884648,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
145,100,0,4,100,100,0,0,0,0,0,100,100,0.0225318938,46.6594726383,25.0000000000,8.0000884648,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
146,100,0,4,100,100,0,0,0,0,0,100,100,0.0225318938,46.6369407445,25.0000000000,8.0000884648,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
147,100,0,4,100,100,0,0,0,0,0,100,100,0.0225318938,46.6144088507,25.0000000000,8.0000884648,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
148,100,0,4,100,100,0,0,0,0,0,100,100,0.0225318938,46.5918769570,25.0000000000,8.0000884648,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
149,100,0,4,100,100,0,0,0,0,0,100,100,0.0225318938,46.5693450632,25.0000000000,8.0000884648,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
150,100,0,4,100,100,0,0,0,0,0,100,100,0.0225318938,46.5468131694,25.0000000000,8.0000884648,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
151,100,0,1,100,100,0,0,1,101,297,100,100,0.0325922453,46.5142209242,100.0000000000,8.0001769980,1.0000000000,0.8808000000,227.0663033606,0,0,0,0
152,100,0,1,100,100,0,0,0,0,0,100,100,0.0277967221,46.4864242021,100.0000000000,8.0001769980,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
153,100,0,1,100,100,0,0,0,0,0,100,100,0.0277967221,46.4586274800,100.0000000000,8.0001769980,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
154,100,0,1,100,100,0,0,0,0,0,100,100,0.0277967221,46.4308307579,100.0000000000,8.0001769980,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
155,100,0,1,100,100,0,0,0,0,0,100,100,0.0277967221,46.4030340359,100.0000000000,8.0001769980,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
156,100,0,1,100,100,0,0,0,0,0,100,100,0.0277967221,46.3752373138,100.0000000000,8.0001769980,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
157,100,0,1,100,100,0,0,0,0,0,100,100,0.0277967221,46.3474405917,100.0000000000,8.0001769980,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
158,100,0,1,100,100,0,0,0,0,0,100,100,0.0277967221,46.3196438697,100.0000000000,8.0001769980,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
159,100,0,1,100,100,0,0,0,0,0,100,100,0.0277967221,46.2918471476,100.0000000000,8.0001769980,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
160,100,0,1,100,100,0,0,0,0,0,100,100,0.0277967221,46.2640504255,100.0000000000,8.0001769980,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
161,100,0,1,100,100,0,0,1,101,297,100,100,0.0345922635,46.2294581620,100.0000000000,8.0001935711,1.0000000000,0.8808000000,227.0663033606,0,0,0,0
162,100,0,1,100,100,0,0,0,0,0,100,100,0.0296081372,46.1998500249,100.0000000000,8.0001935711,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
163,100,0,1,100,100,0,0,0,0,0,100,100,0.0296081372,46.1702418877,100.0000000000,8.0001935711,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
164,100,0,1,100,100,0,0,0,0,0,100,100,0.0296081372,46.1406337505,100.0000000000,8.0001935711,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
