Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,HEED_Iterations,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
1619,13,87,9,13,13,0,0,6,54,31,13,13,0.0031907042,0.2855354762,1.4444444444,10.4617092809,1.0000000000,0.1472000000,176.6304347826
1620,13,87,9,13,13,0,0,6,50,29,13,13,0.0031059126,0.2824295635,1.4444444444,10.4617039320,1.0000000000,0.1440000000,180.5555555556
1621,13,87,9,13,13,0,0,6,55,31,13,13,0.0031938009,0.2792357627,1.4444444444,10.4617071308,1.0000000000,0.1480000000,175.6756756757
1622,13,87,9,13,13,0,0,6,46,25,13,13,0.0030247051,0.2762110576,1.4444444444,10.4617046257,1.0000000000,0.1408000000,184.6590909091
1623,12,88,10,12,12,0,0,6,50,21,12,12,0.0027477275,0.2734633300,1.2000000000,9.3334899710,1.0000000000,0.1360000000,176.4705882353
1624,12,88,9,12,12,0,0,6,43,21,12,12,0.0027213586,0.2707419714,1.3333333333,10.0001598982,1.0000000000,0.1304000000,184.0490797546
1625,12,88,9,12,12,0,0,6,48,20,12,12,0.0027516095,0.2679903619,1.3333333333,10.0001548550,1.0000000000,0.1344000000,178.5714285714
1626,12,88,9,12,12,0,0,6,44,19,12,12,0.0027207620,0.2652696000,1.3333333333,10.0001622274,1.0000000000,0.1312000000,182.9268292683
1627,12,88,9,12,12,0,0,6,45,20,12,12,0.0027260128,0.2625435871,1.3333333333,10.0001571843,1.0000000000,0.1320000000,181.8181818182
1628,12,88,9,12,12,0,0,6,42,20,12,12,0.0027231277,0.2598204595,1.3333333333,10.0001667280,1.0000000000,0.1296000000,185.1851851852
1629,12,88,9,12,12,0,0,6,48,19,12,12,0.0027564752,0.2570639842,1.3333333333,10.0001593556,1.0000000000,0.1344000000,178.5714285714
1630,12,88,9,12,12,0,0,6,46,22,12,12,0.0027881277,0.2542758566,1.3333333333,10.0001667280,1.0000000000,0.1328000000,180.7228915663
1631,12,88,9,12,12,0,0,6,40,19,12,12,0.0026757620,0.2516000946,1.3333333333,10.0001622274,1.0000000000,0.1280000000,187.5000000000
1632,12,88,9,12,12,0,0,6,42,19,12,12,0.0027131277,0.2488869669,1.3333333333,10.0001667280,1.0000000000,0.1296000000,185.1851851852
1633,12,88,9,12,12,0,0,6,42,20,12,12,0.0027001086,0.2461868583,1.3333333333,10.0001598982,1.0000000000,0.1296000000,185.1851851852
1634,12,88,9,12,12,0,0,6,45,20,12,12,0.0027408785,0.2434459798,1.3333333333,10.0001616849,1.0000000000,0.1320000000,181.8181818182
1635,12,88,9,12,12,0,0,6,42,18,12,12,0.0026871285,0.2407588512,1.3333333333,10.0001616849,1.0000000000,0.1296000000,185.1851851852
1636,12,88,9,12,12,0,0,6,42,18,12,12,0.0026949743,0.2380638769,1.3333333333,10.0001643987,1.0000000000,0.1296000000,185.1851851852
1637,12,88,9,12,12,0,0,6,47,23,12,12,0.0027945120,0.2352693649,1.3333333333,10.0001622274,1.0000000000,0.1336000000,179.6407185629
1638,11,89,9,11,11,0,0,6,36,15,11,11,0.0024054381,0.2328639268,1.2222222222,9.4547106806,1.0000000000,0.1168000000,188.3561643836
1639,11,89,9,11,11,0,0,6,37,12,11,11,0.0023628622,0.2305010646,1.2222222222,9.4547057709,1.0000000000,0.1176000000,187.0748299320
1640,11,89,9,11,11,0,0,6,45,15,11,11,0.0024668631,0.2280342015,1.2222222222,9.4547002693,1.0000000000,0.1240000000,177.4193548387
1641,11,89,9,11,11,0,0,6,48,15,11,11,0.0025166122,0.2255175893,1.2222222222,9.4547057709,1.0000000000,0.1264000000,174.0506329114
