Round,Alive,Dead,CH_Count,FallbackUsed,Generated,Delivered,Lost,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
44,100,0,10,0,100,100,0,100,100,0.0349863869,48.2008392601,15.2001834046,1.0000000000,0.8000000000,250.0000000000
45,100,0,12,0,100,100,0,100,100,0.0370992530,48.1637400071,15.0401749670,1.0000000000,0.8000000000,250.0000000000
46,100,0,11,0,100,100,0,100,100,0.0364827191,48.1272572880,15.1201825651,1.0000000000,0.8000000000,250.0000000000
47,100,0,15,0,100,100,0,100,100,0.0396626037,48.0875946843,14.8001565959,1.0000000000,0.8000000000,250.0000000000
48,100,0,27,0,100,100,0,100,100,0.0519782627,48.0356164216,13.8401554377,1.0000000000,0.8000000000,250.0000000000
49,100,0,39,0,100,100,0,100,100,0.0639543653,47.9716620563,12.8801489345,1.0000000000,0.8000000000,250.0000000000
50,100,0,5,0,100,100,0,100,100,0.0314417162,47.9402203401,15.6001943698,1.0000000000,0.8000000000,250.0000000000
51,100,0,9,0,100,100,0,100,100,0.0352741732,47.9049461669,15.2802300751,1.0000000000,0.8000000000,250.0000000000
52,100,0,3,0,100,100,0,100,100,0.0303110147,47.8746351523,15.7602333589,1.0000000000,0.8000000000,250.0000000000
53,100,0,6,0,100,100,0,100,100,0.0315198086,47.8431153437,15.5201893162,1.0000000000,0.8000000000,250.0000000000
54,100,0,9,0,100,100,0,100,100,0.0338868422,47.8092285014,15.2801721523,1.0000000000,0.8000000000,250.0000000000
55,100,0,10,0,100,100,0,100,100,0.0356171481,47.7736113533,15.2001709901,1.0000000000,0.8000000000,250.0000000000
56,100,0,8,0,100,100,0,100,100,0.0331703376,47.7404410157,15.3602020564,1.0000000000,0.8000000000,250.0000000000
57,100,0,13,0,100,100,0,100,100,0.0377272508,47.7027137649,14.9601737609,1.0000000000,0.8000000000,250.0000000000
