Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
36,100,0,3,100,100,0,0,1,103,491,100,100,0.0311112588,48.9960632467,33.3333333333,8.0000887846,1.0000000000,0.8824000000,226.6545784225
37,100,0,3,100,100,0,0,0,0,0,100,100,0.0246963696,48.9713668771,33.3333333333,8.0000887846,1.0000000000,0.8000000000,250.0000000000
38,100,0,3,100,100,0,0,0,0,0,100,100,0.0246963696,48.9466705075,33.3333333333,8.0000887846,1.0000000000,0.8000000000,250.0000000000
39,100,0,3,100,100,0,0,0,0,0,100,100,0.0246963696,48.9219741380,33.3333333333,8.0000887846,1.0000000000,0.8000000000,250.0000000000
40,100,0,3,100,100,0,0,0,0,0,100,100,0.0246963696,48.8972777684,33.3333333333,8.0000887846,1.0000000000,0.8000000000,250.0000000000
41,100,0,6,100,100,0,0,1,106,782,100,100,0.0359343119,48.8613434564,16.6666666667,8.0000899076,1.0000000000,0.8848000000,226.0397830018
42,100,0,6,100,100,0,0,0,0,0,100,100,0.0262405459,48.8351029106,16.6666666667,8.0000899076,1.0000000000,0.8000000000,250.0000000000
43,100,0,6,100,100,0,0,0,0,0,100,100,0.0262405459,48.8088623647,16.6666666667,8.0000899076,1.0000000000,0.8000000000,250.0000000000
44,100,0,6,100,100,0,0,0,0,0,100,100,0.0262405459,48.7826218189,16.6666666667,8.0000899076,1.0000000000,0.8000000000,250.0000000000
45,100,0,6,100,100,0,0,0,0,0,100,100,0.0262405459,48.7563812730,16.6666666667,8.0000899076,1.0000000000,0.8000000000,250.0000000000
46,100,0,9,100,100,0,0,1,109,1073,100,100,0.0377438513,48.7186374217,11.1111111111,8.0000630154,1.0000000000,0.8872000000,225.4283137962
47,100,0,9,100,100,0,0,0,0,0,100,100,0.0249064455,48.6937309762,11.1111111111,8.0000630154,1.0000000000,0.8000000000,250.0000000000
48,100,0,9,100,100,0,0,0,0,0,100,100,0.0249064455,48.6688245308,11.1111111111,8.0000630154,1.0000000000,0.8000000000,250.0000000000
49,100,0,9,100,100,0,0,0,0,0,100,100,0.0249064455,48.6439180853,11.1111111111,8.0000630154,1.0000000000,0.8000000000,250.0000000000
50,100,0,9,100,100,0,0,0,0,0,100,100,0.0249064455,48.6190116398,11.1111111111,8.0000630154,1.0000000000,0.8000000000,250.0000000000
51,100,0,3,100,100,0,0,1,103,491,100,100,0.0338093520,48.5852022878,33.3333333333,8.0001243568,1.0000000000,0.8824000000,226.6545784225
52,100,0,3,100,100,0,0,0,0,0,100,100,0.0272023701,48.5579999177,33.3333333333,8.0001243568,1.0000000000,0.8000000000,250.0000000000
53,100,0,3,100,100,0,0,0,0,0,100,100,0.0272023701,48.5307975476,33.3333333333,8.0001243568,1.0000000000,0.8000000000,250.0000000000
54,100,0,3,100,100,0,0,0,0,0,100,100,0.0272023701,48.5035951775,33.3333333333,8.0001243568,1.0000000000,0.8000000000,250.0000000000
55,100,0,3,100,100,0,0,0,0,0,100,100,0.0272023701,48.4763928073,33.3333333333,8.0001243568,1.0000000000,0.8000000000,250.0000000000
56,100,0,6,100,100,0,0,1,106,782,100,100,0.0340913105,48.4423014968,16.6666666667,8.0000752897,1.0000000000,0.8848000000,226.0397830018
57,100,0,6,100,100,0,0,0,0,0,100,100,0.0244653186,48.4178361782,16.6666666667,8.0000752897,1.0000000000,0.8000000000,250.0000000000
58,100,0,6,100,100,0,0,0,0,0,100,100,0.0244653186,48.3933708596,16.6666666667,8.0000752897,1.0000000000,0.8000000000,250.0000000000
59,100,0,6,100,100,0,0,0,0,0,100,100,0.0244653186,48.3689055409,16.6666666667,8.0000752897,1.0000000000,0.8000000000,250.0000000000
60,100,0,6,100,100,0,0,0,0,0,100,100,0.0244653186,48.3444402223,16.6666666667,8.0000752897,1.0000000000,0.8000000000,250.0000000000
61,100,0,3,100,100,0,0,1,103,491,100,100,0.0305454292,48.3138947931,33.3333333333,8.0000945721,1.0000000000,0.8824000000,226.6545784225
62,100,0,3,100,100,0,0,0,0,0,100,100,0.0241108855,48.2897839076,33.3333333333,8.0000945721,1.0000000000,0.8000000000,250.0000000000
63,100,0,3,100,100,0,0,0,0,0,100,100,0.0241108855,48.2656730221,33.3333333333,8.0000945721,1.0000000000,0.8000000000,250.0000000000
64,100,0,3,100,100,0,0,0,0,0,100,100,0.0241108855,48.2415621365,33.3333333333,8.0000945721,1.0000000000,0.8000000000,250.0000000000
65,100,0,3,100,100,0,0,0,0,0,100,100,0.0241108855,48.2174512510,33.3333333333,8.0000945721,1.0000000000,0.8000000000,250.0000000000
66,100,0,2,100,100,0,0,1,102,394,100,100,0.0306951782,48.1867560728,50.0000000000,8.0001180132,1.0000000000,0.8816000000,226.8602540835
67,100,0,2,100,100,0,0,0,0,0,100,100,0.0252395862,48.1615164865,50.0000000000,8.0001180132,1.0000000000,0.8000000000,250.0000000000
68,100,0,2,100,100,0,0,0,0,0,100,100,0.0252395862,48.1362769003,50.0000000000,8.0001180132,1.0000000000,0.8000000000,250.0000000000
69,100,0,2,100,100,0,0,0,0,0,100,100,0.0252395862,48.1110373141,50.0000000000,8.0001180132,1.0000000000,0.8000000000,250.0000000000
70,100,0,2,100,100,0,0,0,0,0,100,100,0.0252395862,48.0857977278,50.0000000000,8.0001180132,1.0000000000,0.8000000000,250.0000000000
71,100,0,4,100,100,0,0,1,104,588,100,100,0.0322526303,48.0535450975,25.0000000000,8.0000919052,1.0000000000,0.8832000000,226.4492753623
72,100,0,4,100,100,0,0,0,0,0,100,100,0.0247206483,48.0288244491,25.0000000000,8.0000919052,1.0000000000,0.8000000000,250.0000000000
73,100,0,4,100,100,0,0,0,0,0,100,100,0.0247206483,48.0041038008,25.0000000000,8.0000919052,1.0000000000,0.8000000000,250.0000000000
74,100,0,4,100,100,0,0,0,0,0,100,100,0.0247206483,47.9793831524,25.0000000000,8.0000919052,1.0000000000,0.8000000000,250.0000000000
75,100,0,4,100,100,0,0,0,0,0,100,100,0.0247206483,47.9546625041,25.0000000000,8.0000919052,1.0000000000,0.8000000000,250.0000000000
76,100,0,1,100,100,0,0,1,101,297,100,100,0.0361197134,47.9185427907,100.0000000000,8.0001819935,1.0000000000,0.8808000000,227.0663033606
77,100,0,1,100,100,0,0,0,0,0,100,100,0.0313241902,47.8872186004,100.0000000000,8.0001819935,1.0000000000,0.8000000000,250.0000000000
78,100,0,1,100,100,0,0,0,0,0,100,100,0.0313241902,47.8558944102,100.0000000000,8.0001819935,1.0000000000,0.8000000000,250.0000000000
79,100,0,1,100,100,0,0,0,0,0,100,100,0.0313241902,47.8245702199,100.0000000000,8.0001819935,1.0000000000,0.8000000000,250.0000000000
80,100,0,1,100,100,0,0,0,0,0,100,100,0.0313241902,47.7932460297,100.0000000000,8.0001819935,1.0000000000,0.8000000000,250.0000000000
81,100,0,1,100,100,0,0,1,101,297,100,100,0.0353224571,47.7579235726,100.0000000000,8.0001964577,1.0000000000,0.8808000000,227.0663033606
82,100,0,1,100,100,0,0,0,0,0,100,100,0.0303383308,47.7275852418,100.0000000000,8.0001964577,1.0000000000,0.8000000000,250.0000000000
83,100,0,1,100,100,0,0,0,0,0,100,100,0.0303383308,47.6972469111,100.0000000000,8.0001964577,1.0000000000,0.8000000000,250.0000000000
84,100,0,1,100,100,0,0,0,0,0,100,100,0.0303383308,47.6669085803,100.0000000000,8.0001964577,1.0000000000,0.8000000000,250.0000000000
85,100,0,1,100,100,0,0,0,0,0,100,100,0.0303383308,47.6365702495,100.0000000000,8.0001964577,1.0000000000,0.8000000000,250.0000000000
86,100,0,1,100,100,0,0,1,101,297,100,100,0.0308228432,47.6057474064,100.0000000000,8.0001496695,1.0000000000,0.8808000000,227.0663033606
87,100,0,1,100,100,0,0,0,0,0,100,100,0.0262728417,47.5794745647,100.0000000000,8.0001496695,1.0000000000,0.8000000000,250.0000000000
88,100,0,1,100,100,0,0,0,0,0,100,100,0.0262728417,47.5532017231,100.0000000000,8.0001496695,1.0000000000,0.8000000000,250.0000000000
89,100,0,1,100,100,0,0,0,0,0,100,100,0.0262728417,47.5269288814,100.0000000000,8.0001496695,1.0000000000,0.8000000000,250.0000000000
90,100,0,1,100,100,0,0,0,0,0,100,100,0.0262728417,47.5006560398,100.0000000000,8.0001496695,1.0000000000,0.8000000000,250.0000000000
91,100,0,5,100,100,0,0,1,105,685,100,100,0.0328703600,47.4677856798,20.0000000000,8.0000780917,1.0000000000,0.8840000000,226.2443438914
92,100,0,5,100,100,0,0,0,0,0,100,100,0.0243257545,47.4434599253,20.0000000000,8.0000780917,1.0000000000,0.8000000000,250.0000000000
93,100,0,5,100,100,0,0,0,0,0,100,100,0.0243257545,47.4191341707,20.0000000000,8.0000780917,1.0000000000,0.8000000000,250.0000000000
94,100,0,5,100,100,0,0,0,0,0,100,100,0.0243257545,47.3948084162,20.0000000000,8.0000780917,1.0000000000,0.8000000000,250.0000000000
95,100,0,5,100,100,0,0,0,0,0,100,100,0.0243257545,47.3704826617,20.0000000000,8.0000780917,1.0000000000,0.8000000000,250.0000000000
96,100,0,1,100,100,0,0,1,101,297,100,100,0.0347332094,47.3357494523,100.0000000000,8.0001892531,1.0000000000,0.8808000000,227.0663033606
97,100,0,1,100,100,0,0,0,0,0,100,100,0.0298366028,47.3059128495,100.0000000000,8.0001892531,1.0000000000,0.8000000000,250.0000000000
98,100,0,1,100,100,0,0,0,0,0,100,100,0.0298366028,47.2760762467,100.0000000000,8.0001892531,1.0000000000,0.8000000000,250.0000000000
99,100,0,1,100,100,0,0,0,0,0,100,100,0.0298366028,47.2462396439,100.0000000000,8.0001892531,1.0000000000,0.8000000000,250.0000000000
100,100,0,1,100,100,0,0,0,0,0,100,100,0.0298366028,47.2164030411,100.0000000000,8.0001892531,1.0000000000,0.8000000000,250.0000000000
101,100,0,11,100,100,0,0,1,110,1267,100,100,0.0398338617,47.1765691794,9.0909090909,8.0000594228,1.0000000000,0.8880000000,225.2252252252
102,100,0,11,100,100,0,0,0,0,0,100,100,0.0248496844,47.1517194950,9.0909090909,8.0000594228,1.0000000000,0.8000000000,250.0000000000
103,100,0,11,100,100,0,0,0,0,0,100,100,0.0248496844,47.1268698105,9.0909090909,8.0000594228,1.0000000000,0.8000000000,250.0000000000
104,100,0,11,100,100,0,0,0,0,0,100,100,0.0248496844,47.1020201261,9.0909090909,8.0000594228,1.0000000000,0.8000000000,250.0000000000
105,100,0,11,100,100,0,0,0,0,0,100,100,0.0248496844,47.0771704416,9.0909090909,8.0000594228,1.0000000000,0.8000000000,250.0000000000
106,100,0,11,100,100,0,0,1,111,1267,100,100,0.0400756932,47.0370947484,9.0909090909,8.0000554207,1.0000000000,0.8888000000,225.0225022502
107,100,0,11,100,100,0,0,0,0,0,100,100,0.0250877092,47.0120070393,9.0909090909,8.0000554207,1.0000000000,0.8000000000,250.0000000000
108,100,0,11,100,100,0,0,0,0,0,100,100,0.0250877092,46.9869193301,9.0909090909,8.0000554207,1.0000000000,0.8000000000,250.0000000000
109,100,0,11,100,100,0,0,0,0,0,100,100,0.0250877092,46.9618316210,9.0909090909,8.0000554207,1.0000000000,0.8000000000,250.0000000000
110,100,0,11,100,100,0,0,0,0,0,100,100,0.0250877092,46.9367439118,9.0909090909,8.0000554207,1.0000000000,0.8000000000,250.0000000000
111,100,0,8,100,100,0,0,1,108,976,100,100,0.0364957920,46.9002481198,12.5000000000,8.0000752875,1.0000000000,0.8864000000,225.6317689531
112,100,0,8,100,100,0,0,0,0,0,100,100,0.0247042277,46.8755438921,12.5000000000,8.0000752875,1.0000000000,0.8000000000,250.0000000000
113,100,0,8,100,100,0,0,0,0,0,100,100,0.0247042277,46.8508396643,12.5000000000,8.0000752875,1.0000000000,0.8000000000,250.0000000000
114,100,0,8,100,100,0,0,0,0,0,100,100,0.0247042277,46.8261354366,12.5000000000,8.0000752875,1.0000000000,0.8000000000,250.0000000000
115,100,0,8,100,100,0,0,0,0,0,100,100,0.0247042277,46.8014312088,12.5000000000,8.0000752875,1.0000000000,0.8000000000,250.0000000000
116,100,0,8,100,100,0,0,1,108,976,100,100,0.0357962058,46.7656350030,12.5000000000,8.0000608302,1.0000000000,0.8864000000,225.6317689531
117,100,0,8,100,100,0,0,0,0,0,100,100,0.0240437087,46.7415912944,12.5000000000,8.0000608302,1.0000000000,0.8000000000,250.0000000000
118,100,0,8,100,100,0,0,0,0,0,100,100,0.0240437087,46.7175475857,12.5000000000,8.0000608302,1.0000000000,0.8000000000,250.0000000000
119,100,0,8,100,100,0,0,0,0,0,100,100,0.0240437087,46.6935038770,12.5000000000,8.0000608302,1.0000000000,0.8000000000,250.0000000000
120,100,0,8,100,100,0,0,0,0,0,100,100,0.0240437087,46.6694601683,12.5000000000,8.0000608302,1.0000000000,0.8000000000,250.0000000000
