Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
36,100,0,3,100,100,0,0,1,103,491,100,100,0.0337619179,48.6209428130,33.3333333333,15.7606095453,1.0000000000,0.8824000000,226.6545784225
37,100,0,3,100,100,0,0,0,0,0,100,100,0.0273470287,48.5935957842,33.3333333333,15.7606095453,1.0000000000,0.8000000000,250.0000000000
38,100,0,3,100,100,0,0,0,0,0,100,100,0.0273470287,48.5662487555,33.3333333333,15.7606095453,1.0000000000,0.8000000000,250.0000000000
39,100,0,3,100,100,0,0,0,0,0,100,100,0.0273470287,48.5389017268,33.3333333333,15.7606095453,1.0000000000,0.8000000000,250.0000000000
40,100,0,3,100,100,0,0,0,0,0,100,100,0.0273470287,48.5115546980,33.3333333333,15.7606095453,1.0000000000,0.8000000000,250.0000000000
41,100,0,6,100,100,0,0,1,106,782,100,100,0.0451149503,48.4664397477,16.6666666667,15.5206190759,1.0000000000,0.8848000000,226.0397830018
42,100,0,6,100,100,0,0,0,0,0,100,100,0.0354211842,48.4310185635,16.6666666667,15.5206190759,1.0000000000,0.8000000000,250.0000000000
43,100,0,6,100,100,0,0,0,0,0,100,100,0.0354211842,48.3955973792,16.6666666667,15.5206190759,1.0000000000,0.8000000000,250.0000000000
44,100,0,6,100,100,0,0,0,0,0,100,100,0.0354211842,48.3601761950,16.6666666667,15.5206190759,1.0000000000,0.8000000000,250.0000000000
45,100,0,6,100,100,0,0,0,0,0,100,100,0.0354211842,48.3247550107,16.6666666667,15.5206190759,1.0000000000,0.8000000000,250.0000000000
46,100,0,9,100,100,0,0,1,109,1073,100,100,0.0445633375,48.2801916732,11.1111111111,15.2805563371,1.0000000000,0.8872000000,225.4283137962
47,100,0,9,100,100,0,0,0,0,0,100,100,0.0317259317,48.2484657415,11.1111111111,15.2805563371,1.0000000000,0.8000000000,250.0000000000
48,100,0,9,100,100,0,0,0,0,0,100,100,0.0317259317,48.2167398098,11.1111111111,15.2805563371,1.0000000000,0.8000000000,250.0000000000
49,100,0,9,100,100,0,0,0,0,0,100,100,0.0317259317,48.1850138781,11.1111111111,15.2805563371,1.0000000000,0.8000000000,250.0000000000
50,100,0,9,100,100,0,0,0,0,0,100,100,0.0317259317,48.1532879464,11.1111111111,15.2805563371,1.0000000000,0.8000000000,250.0000000000
51,100,0,3,100,100,0,0,1,103,491,100,100,0.0390677572,48.1142201892,33.3333333333,15.7607057611,1.0000000000,0.8824000000,226.6545784225
52,100,0,3,100,100,0,0,0,0,0,100,100,0.0324607753,48.0817594139,33.3333333333,15.7607057611,1.0000000000,0.8000000000,250.0000000000
53,100,0,3,100,100,0,0,0,0,0,100,100,0.0324607753,48.0492986385,33.3333333333,15.7607057611,1.0000000000,0.8000000000,250.0000000000
54,100,0,3,100,100,0,0,0,0,0,100,100,0.0324607753,48.0168378632,33.3333333333,15.7607057611,1.0000000000,0.8000000000,250.0000000000
55,100,0,3,100,100,0,0,0,0,0,100,100,0.0324607753,47.9843770879,33.3333333333,15.7607057611,1.0000000000,0.8000000000,250.0000000000
56,100,0,6,100,100,0,0,1,106,782,100,100,0.0422757546,47.9421013333,16.6666666667,15.5205816623,1.0000000000,0.8848000000,226.0397830018
57,100,0,6,100,100,0,0,0,0,0,100,100,0.0326497627,47.9094515707,16.6666666667,15.5205816623,1.0000000000,0.8000000000,250.0000000000
58,100,0,6,100,100,0,0,0,0,0,100,100,0.0326497627,47.8768018080,16.6666666667,15.5205816623,1.0000000000,0.8000000000,250.0000000000
59,100,0,6,100,100,0,0,0,0,0,100,100,0.0326497627,47.8441520453,16.6666666667,15.5205816623,1.0000000000,0.8000000000,250.0000000000
60,100,0,6,100,100,0,0,0,0,0,100,100,0.0326497627,47.8115022826,16.6666666667,15.5205816623,1.0000000000,0.8000000000,250.0000000000
61,100,0,3,100,100,0,0,1,103,491,100,100,0.0361735105,47.7753287721,33.3333333333,15.7606086527,1.0000000000,0.8824000000,226.6545784225
62,100,0,3,100,100,0,0,0,0,0,100,100,0.0297389668,47.7455898052,33.3333333333,15.7606086527,1.0000000000,0.8000000000,250.0000000000
63,100,0,3,100,100,0,0,0,0,0,100,100,0.0297389668,47.7158508384,33.3333333333,15.7606086527,1.0000000000,0.8000000000,250.0000000000
64,100,0,3,100,100,0,0,0,0,0,100,100,0.0297389668,47.6861118716,33.3333333333,15.7606086527,1.0000000000,0.8000000000,250.0000000000
65,100,0,3,100,100,0,0,0,0,0,100,100,0.0297389668,47.6563729047,33.3333333333,15.7606086527,1.0000000000,0.8000000000,250.0000000000
66,100,0,2,100,100,0,0,1,102,394,100,100,0.0315995399,47.6247733648,50.0000000000,15.8406132872,1.0000000000,0.8816000000,226.8602540835
67,100,0,2,100,100,0,0,0,0,0,100,100,0.0261439479,47.5986294169,50.0000000000,15.8406132872,1.0000000000,0.8000000000,250.0000000000
68,100,0,2,100,100,0,0,0,0,0,100,100,0.0261439479,47.5724854690,50.0000000000,15.8406132872,1.0000000000,0.8000000000,250.0000000000
69,100,0,2,100,100,0,0,0,0,0,100,100,0.0261439479,47.5463415212,50.0000000000,15.8406132872,1.0000000000,0.8000000000,250.0000000000
70,100,0,2,100,100,0,0,0,0,0,100,100,0.0261439479,47.5201975733,50.0000000000,15.8406132872,1.0000000000,0.8000000000,250.0000000000
71,100,0,4,100,100,0,0,1,104,588,100,100,0.0409637124,47.4792338609,25.0000000000,15.6806457305,1.0000000000,0.8832000000,226.4492753623
72,100,0,4,100,100,0,0,0,0,0,100,100,0.0334317304,47.4458021305,25.0000000000,15.6806457305,1.0000000000,0.8000000000,250.0000000000
73,100,0,4,100,100,0,0,0,0,0,100,100,0.0334317304,47.4123704001,25.0000000000,15.6806457305,1.0000000000,0.8000000000,250.0000000000
74,100,0,4,100,100,0,0,0,0,0,100,100,0.0334317304,47.3789386697,25.0000000000,15.6806457305,1.0000000000,0.8000000000,250.0000000000
75,100,0,4,100,100,0,0,0,0,0,100,100,0.0334317304,47.3455069393,25.0000000000,15.6806457305,1.0000000000,0.8000000000,250.0000000000
76,100,0,1,100,100,0,0,1,101,297,100,100,0.0361197134,47.3093872258,100.0000000000,15.9208169515,1.0000000000,0.8808000000,227.0663033606
77,100,0,1,100,100,0,0,0,0,0,100,100,0.0313241902,47.2780630356,100.0000000000,15.9208169515,1.0000000000,0.8000000000,250.0000000000
78,100,0,1,100,100,0,0,0,0,0,100,100,0.0313241902,47.2467388453,100.0000000000,15.9208169515,1.0000000000,0.8000000000,250.0000000000
79,100,0,1,100,100,0,0,0,0,0,100,100,0.0313241902,47.2154146551,100.0000000000,15.9208169515,1.0000000000,0.8000000000,250.0000000000
80,100,0,1,100,100,0,0,0,0,0,100,100,0.0313241902,47.1840904649,100.0000000000,15.9208169515,1.0000000000,0.8000000000,250.0000000000
81,100,0,1,100,100,0,0,1,101,297,100,100,0.0353224571,47.1487680078,100.0000000000,15.9206293563,1.0000000000,0.8808000000,227.0663033606
82,100,0,1,100,100,0,0,0,0,0,100,100,0.0303383308,47.1184296770,100.0000000000,15.9206293563,1.0000000000,0.8000000000,250.0000000000
83,100,0,1,100,100,0,0,0,0,0,100,100,0.0303383308,47.0880913462,100.0000000000,15.9206293563,1.0000000000,0.8000000000,250.0000000000
84,100,0,1,100,100,0,0,0,0,0,100,100,0.0303383308,47.0577530155,100.0000000000,15.9206293563,1.0000000000,0.8000000000,250.0000000000
85,100,0,1,100,100,0,0,0,0,0,100,100,0.0303383308,47.0274146847,100.0000000000,15.9206293563,1.0000000000,0.8000000000,250.0000000000
86,100,0,1,100,100,0,0,1,101,297,100,100,0.0308228432,46.9965918415,100.0000000000,15.9205922378,1.0000000000,0.8808000000,227.0663033606
87,100,0,1,100,100,0,0,0,0,0,100,100,0.0262728417,46.9703189999,100.0000000000,15.9205922378,1.0000000000,0.8000000000,250.0000000000
88,100,0,1,100,100,0,0,0,0,0,100,100,0.0262728417,46.9440461582,100.0000000000,15.9205922378,1.0000000000,0.8000000000,250.0000000000
89,100,0,1,100,100,0,0,0,0,0,100,100,0.0262728417,46.9177733166,100.0000000000,15.9205922378,1.0000000000,0.8000000000,250.0000000000
90,100,0,1,100,100,0,0,0,0,0,100,100,0.0262728417,46.8915004749,100.0000000000,15.9205922378,1.0000000000,0.8000000000,250.0000000000
91,100,0,5,100,100,0,0,1,105,685,100,100,0.0401816809,46.8513187940,20.0000000000,15.6006006876,1.0000000000,0.8840000000,226.2443438914
92,100,0,5,100,100,0,0,0,0,0,100,100,0.0316370755,46.8196817185,20.0000000000,15.6006006876,1.0000000000,0.8000000000,250.0000000000
93,100,0,5,100,100,0,0,0,0,0,100,100,0.0316370755,46.7880446430,20.0000000000,15.6006006876,1.0000000000,0.8000000000,250.0000000000
94,100,0,5,100,100,0,0,0,0,0,100,100,0.0316370755,46.7564075675,20.0000000000,15.6006006876,1.0000000000,0.8000000000,250.0000000000
95,100,0,5,100,100,0,0,0,0,0,100,100,0.0316370755,46.7247704920,20.0000000000,15.6006006876,1.0000000000,0.8000000000,250.0000000000
96,100,0,1,100,100,0,0,1,101,297,100,100,0.0347332094,46.6900372826,100.0000000000,15.9206611141,1.0000000000,0.8808000000,227.0663033606
97,100,0,1,100,100,0,0,0,0,0,100,100,0.0298366028,46.6602006799,100.0000000000,15.9206611141,1.0000000000,0.8000000000,250.0000000000
98,100,0,1,100,100,0,0,0,0,0,100,100,0.0298366028,46.6303640771,100.0000000000,15.9206611141,1.0000000000,0.8000000000,250.0000000000
99,100,0,1,100,100,0,0,0,0,0,100,100,0.0298366028,46.6005274743,100.0000000000,15.9206611141,1.0000000000,0.8000000000,250.0000000000
100,100,0,1,100,100,0,0,0,0,0,100,100,0.0298366028,46.5706908715,100.0000000000,15.9206611141,1.0000000000,0.8000000000,250.0000000000
101,100,0,11,100,100,0,0,1,110,1267,100,100,0.0563624644,46.5143284071,9.0909090909,15.1205654845,1.0000000000,0.8880000000,225.2252252252
102,100,0,11,100,100,0,0,0,0,0,100,100,0.0413782871,46.4729501199,9.0909090909,15.1205654845,1.0000000000,0.8000000000,250.0000000000
103,100,0,11,100,100,0,0,0,0,0,100,100,0.0413782871,46.4315718328,9.0909090909,15.1205654845,1.0000000000,0.8000000000,250.0000000000
104,100,0,11,100,100,0,0,0,0,0,100,100,0.0413782871,46.3901935456,9.0909090909,15.1205654845,1.0000000000,0.8000000000,250.0000000000
105,100,0,11,100,100,0,0,0,0,0,100,100,0.0413782871,46.3488152585,9.0909090909,15.1205654845,1.0000000000,0.8000000000,250.0000000000
106,100,0,10,100,100,0,0,1,110,1170,100,100,0.0512292691,46.2975859894,10.0000000000,15.2005645580,1.0000000000,0.8880000000,225.2252252252
107,100,0,10,100,100,0,0,0,0,0,100,100,0.0373198740,46.2602661153,10.0000000000,15.2005645580,1.0000000000,0.8000000000,250.0000000000
108,100,0,10,100,100,0,0,0,0,0,100,100,0.0373198740,46.2229462413,10.0000000000,15.2005645580,1.0000000000,0.8000000000,250.0000000000
109,100,0,10,100,100,0,0,0,0,0,100,100,0.0373198740,46.1856263672,10.0000000000,15.2005645580,1.0000000000,0.8000000000,250.0000000000
110,100,0,10,100,100,0,0,0,0,0,100,100,0.0373198740,46.1483064932,10.0000000000,15.2005645580,1.0000000000,0.8000000000,250.0000000000
111,100,0,8,100,100,0,0,1,108,976,100,100,0.0487082202,46.0995982730,12.5000000000,15.3605857120,1.0000000000,0.8864000000,225.6317689531
112,100,0,8,100,100,0,0,0,0,0,100,100,0.0369203111,46.0626779619,12.5000000000,15.3605857120,1.0000000000,0.8000000000,250.0000000000
113,100,0,8,100,100,0,0,0,0,0,100,100,0.0369203111,46.0257576508,12.5000000000,15.3605857120,1.0000000000,0.8000000000,250.0000000000
114,100,0,8,100,100,0,0,0,0,0,100,100,0.0369203111,45.9888373396,12.5000000000,15.3605857120,1.0000000000,0.8000000000,250.0000000000
115,100,0,8,100,100,0,0,0,0,0,100,100,0.0369203111,45.9519170285,12.5000000000,15.3605857120,1.0000000000,0.8000000000,250.0000000000
116,100,0,9,100,100,0,0,1,109,1073,100,100,0.0524833088,45.8994337197,11.1111111111,15.2805824679,1.0000000000,0.8872000000,225.4283137962
117,100,0,9,100,100,0,0,0,0,0,100,100,0.0396042453,45.8598294744,11.1111111111,15.2805824679,1.0000000000,0.8000000000,250.0000000000
118,100,0,9,100,100,0,0,0,0,0,100,100,0.0396042453,45.8202252291,11.1111111111,15.2805824679,1.0000000000,0.8000000000,250.0000000000
119,100,0,9,100,100,0,0,0,0,0,100,100,0.0396042453,45.7806209838,11.1111111111,15.2805824679,1.0000000000,0.8000000000,250.0000000000
120,100,0,9,100,100,0,0,0,0,0,100,100,0.0396042453,45.7410167385,11.1111111111,15.2805824679,1.0000000000,0.8000000000,250.0000000000
121,100,0,3,100,100,0,0,1,103,491,100,100,0.0334016118,45.7076151267,33.3333333333,15.7606050284,1.0000000000,0.8824000000,226.6545784225
122,100,0,3,100,100,0,0,0,0,0,100,100,0.0269120745,45.6807030522,33.3333333333,15.7606050284,1.0000000000,0.8000000000,250.0000000000
123,100,0,3,100,100,0,0,0,0,0,100,100,0.0269120745,45.6537909777,33.3333333333,15.7606050284,1.0000000000,0.8000000000,250.0000000000
124,100,0,3,100,100,0,0,0,0,0,100,100,0.0269120745,45.6268789031,33.3333333333,15.7606050284,1.0000000000,0.8000000000,250.0000000000
125,100,0,3,100,100,0,0,0,0,0,100,100,0.0269120745,45.5999668286,33.3333333333,15.7606050284,1.0000000000,0.8000000000,250.0000000000
126,100,0,7,100,100,0,0,1,107,879,100,100,0.0441968104,45.5557700182,14.2857142857,15.4405669730,1.0000000000,0.8856000000,225.8355916893
127,100,0,7,100,100,0,0,0,0,0,100,100,0.0335384020,45.5222316162,14.2857142857,15.4405669730,1.0000000000,0.8000000000,250.0000000000
128,100,0,7,100,100,0,0,0,0,0,100,100,0.0335384020,45.4886932141,14.2857142857,15.4405669730,1.0000000000,0.8000000000,250.0000000000
129,100,0,7,100,100,0,0,0,0,0,100,100,0.0335384020,45.4551548121,14.2857142857,15.4405669730,1.0000000000,0.8000000000,250.0000000000
130,100,0,7,100,100,0,0,0,0,0,100,100,0.0335384020,45.4216164101,14.2857142857,15.4405669730,1.0000000000,0.8000000000,250.0000000000
131,100,0,5,100,100,0,0,1,105,685,100,100,0.0424985695,45.3791178405,20.0000000000,15.6006084391,1.0000000000,0.8840000000,226.2443438914
132,100,0,5,100,100,0,0,0,0,0,100,100,0.0339571405,45.3451607001,20.0000000000,15.6006084391,1.0000000000,0.8000000000,250.0000000000
133,100,0,5,100,100,0,0,0,0,0,100,100,0.0339571405,45.3112035596,20.0000000000,15.6006084391,1.0000000000,0.8000000000,250.0000000000
134,100,0,5,100,100,0,0,0,0,0,100,100,0.0339571405,45.2772464191,20.0000000000,15.6006084391,1.0000000000,0.8000000000,250.0000000000
135,100,0,5,100,100,0,0,0,0,0,100,100,0.0339571405,45.2432892786,20.0000000000,15.6006084391,1.0000000000,0.8000000000,250.0000000000
136,100,0,6,100,100,0,0,1,105,782,100,100,0.0428114554,45.2004778232,16.6666666667,15.5206121693,1.0000000000,0.8840000000,226.2443438914
137,100,0,6,100,100,0,0,0,0,0,100,100,0.0331774402,45.1673003830,16.6666666667,15.5206121693,1.0000000000,0.8000000000,250.0000000000
138,100,0,6,100,100,0,0,0,0,0,100,100,0.0331774402,45.1341229429,16.6666666667,15.5206121693,1.0000000000,0.8000000000,250.0000000000
139,100,0,6,100,100,0,0,0,0,0,100,100,0.0331774402,45.1009455027,16.6666666667,15.5206121693,1.0000000000,0.8000000000,250.0000000000
140,100,0,6,100,100,0,0,0,0,0,100,100,0.0331774402,45.0677680625,16.6666666667,15.5206121693,1.0000000000,0.8000000000,250.0000000000
141,100,0,7,100,100,0,0,1,107,879,100,100,0.0423163399,45.0254517226,14.2857142857,15.4405634164,1.0000000000,0.8856000000,225.8355916893
142,100,0,7,100,100,0,0,0,0,0,100,100,0.0315175757,44.9939341469,14.2857142857,15.4405634164,1.0000000000,0.8000000000,250.0000000000
143,100,0,7,100,100,0,0,0,0,0,100,100,0.0315175757,44.9624165712,14.2857142857,15.4405634164,1.0000000000,0.8000000000,250.0000000000
144,100,0,7,100,100,0,0,0,0,0,100,100,0.0315175757,44.9308989956,14.2857142857,15.4405634164,1.0000000000,0.8000000000,250.0000000000
145,100,0,7,100,100,0,0,0,0,0,100,100,0.0315175757,44.8993814199,14.2857142857,15.4405634164,1.0000000000,0.8000000000,250.0000000000
146,100,0,5,100,100,0,0,1,105,685,100,100,0.0374965502,44.8618848697,20.0000000000,15.6005894352,1.0000000000,0.8840000000,226.2443438914
147,100,0,5,100,100,0,0,0,0,0,100,100,0.0288536966,44.8330311731,20.0000000000,15.6005894352,1.0000000000,0.8000000000,250.0000000000
148,100,0,5,100,100,0,0,0,0,0,100,100,0.0288536966,44.8041774765,20.0000000000,15.6005894352,1.0000000000,0.8000000000,250.0000000000
149,100,0,5,100,100,0,0,0,0,0,100,100,0.0288536966,44.7753237799,20.0000000000,15.6005894352,1.0000000000,0.8000000000,250.0000000000
150,100,0,5,100,100,0,0,0,0,0,100,100,0.0288536966,44.7464700833,20.0000000000,15.6005894352,1.0000000000,0.8000000000,250.0000000000
151,100,0,3,100,100,0,0,1,103,491,100,100,0.0348424692,44.7116276141,33.3333333333,15.7606180542,1.0000000000,0.8824000000,226.6545784225
152,100,0,3,100,100,0,0,0,0,0,100,100,0.0283927838,44.6832348304,33.3333333333,15.7606180542,1.0000000000,0.8000000000,250.0000000000
153,100,0,3,100,100,0,0,0,0,0,100,100,0.0283927838,44.6548420466,33.3333333333,15.7606180542,1.0000000000,0.8000000000,250.0000000000
154,100,0,3,100,100,0,0,0,0,0,100,100,0.0283927838,44.6264492628,33.3333333333,15.7606180542,1.0000000000,0.8000000000,250.0000000000
155,100,0,3,100,100,0,0,0,0,0,100,100,0.0283927838,44.5980564791,33.3333333333,15.7606180542,1.0000000000,0.8000000000,250.0000000000
156,100,0,4,100,100,0,0,1,104,588,100,100,0.0380625388,44.5599939403,25.0000000000,15.6806168091,1.0000000000,0.8832000000,226.4492753623
157,100,0,4,100,100,0,0,0,0,0,100,100,0.0305806325,44.5294133078,25.0000000000,15.6806168091,1.0000000000,0.8000000000,250.0000000000
158,100,0,4,100,100,0,0,0,0,0,100,100,0.0305806325,44.4988326753,25.0000000000,15.6806168091,1.0000000000,0.8000000000,250.0000000000
159,100,0,4,100,100,0,0,0,0,0,100,100,0.0305806325,44.4682520427,25.0000000000,15.6806168091,1.0000000000,0.8000000000,250.0000000000
160,100,0,4,100,100,0,0,0,0,0,100,100,0.0305806325,44.4376714102,25.0000000000,15.6806168091,1.0000000000,0.8000000000,250.0000000000
161,100,0,3,100,100,0,0,1,103,491,100,100,0.0371735353,44.4004978749,33.3333333333,15.7606146614,1.0000000000,0.8824000000,226.6545784225
162,100,0,3,100,100,0,0,0,0,0,100,100,0.0306835314,44.3698143436,33.3333333333,15.7606146614,1.0000000000,0.8000000000,250.0000000000
163,100,0,3,100,100,0,0,0,0,0,100,100,0.0306835314,44.3391308122,33.3333333333,15.7606146614,1.0000000000,0.8000000000,250.0000000000
164,100,0,3,100,100,0,0,0,0,0,100,100,0.0306835314,44.3084472808,33.3333333333,15.7606146614,1.0000000000,0.8000000000,250.0000000000
165,100,0,3,100,100,0,0,0,0,0,100,100,0.0306835314,44.2777637495,33.3333333333,15.7606146614,1.0000000000,0.8000000000,250.0000000000
166,100,0,3,100,100,0,0,1,103,491,100,100,0.0344009242,44.2433628252,33.3333333333,15.7606054217,1.0000000000,0.8824000000,226.6545784225
167,100,0,3,100,100,0,0,0,0,0,100,100,0.0276579562,44.2157048690,33.3333333333,15.7606054217,1.0000000000,0.8000000000,250.0000000000
168,100,0,3,100,100,0,0,0,0,0,100,100,0.0276579562,44.1880469128,33.3333333333,15.7606054217,1.0000000000,0.8000000000,250.0000000000
169,100,0,3,100,100,0,0,0,0,0,100,100,0.0276579562,44.1603889566,33.3333333333,15.7606054217,1.0000000000,0.8000000000,250.0000000000
170,100,0,3,100,100,0,0,0,0,0,100,100,0.0276579562,44.1327310004,33.3333333333,15.7606054217,1.0000000000,0.8000000000,250.0000000000
171,100,0,6,100,100,0,0,1,106,782,100,100,0.0442814366,44.0884495638,16.6666666667,15.5205973957,1.0000000000,0.8848000000,226.0397830018
172,100,0,6,100,100,0,0,0,0,0,100,100,0.0346289739,44.0538205899,16.6666666667,15.5205973957,1.0000000000,0.8000000000,250.0000000000
173,100,0,6,100,100,0,0,0,0,0,100,100,0.0346289739,44.0191916160,16.6666666667,15.5205973957,1.0000000000,0.8000000000,250.0000000000
174,100,0,6,100,100,0,0,0,0,0,100,100,0.0346289739,43.9845626421,16.6666666667,15.5205973957,1.0000000000,0.8000000000,250.0000000000
175,100,0,6,100,100,0,0,0,0,0,100,100,0.0346289739,43.9499336682,16.6666666667,15.5205973957,1.0000000000,0.8000000000,250.0000000000
176,100,0,2,100,100,0,0,1,102,394,100,100,0.0382522530,43.9116814152,50.0000000000,15.8407766064,1.0000000000,0.8816000000,226.8602540835
177,100,0,2,100,100,0,0,0,0,0,100,100,0.0325821244,43.8790992907,50.0000000000,15.8407766064,1.0000000000,0.8000000000,250.0000000000
178,100,0,2,100,100,0,0,0,0,0,100,100,0.0325821244,43.8465171663,50.0000000000,15.8407766064,1.0000000000,0.8000000000,250.0000000000
179,100,0,2,100,100,0,0,0,0,0,100,100,0.0325821244,43.8139350419,50.0000000000,15.8407766064,1.0000000000,0.8000000000,250.0000000000
180,100,0,2,100,100,0,0,0,0,0,100,100,0.0325821244,43.7813529174,50.0000000000,15.8407766064,1.0000000000,0.8000000000,250.0000000000
181,100,0,3,100,100,0,0,1,103,491,100,100,0.0353534509,43.7459994665,33.3333333333,15.7606279306,1.0000000000,0.8824000000,226.6545784225
182,100,0,3,100,100,0,0,0,0,0,100,100,0.0287846013,43.7172148652,33.3333333333,15.7606279306,1.0000000000,0.8000000000,250.0000000000
