Round,Alive,Dead,CH_Count,FallbackUsed,Generated,Delivered,Lost,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
44,100,0,5,0,100,100,0,100,100,0.0360000918,47.5004626395,15.6005501251,1.0000000000,0.8000000000,250.0000000000
45,100,0,6,0,100,100,0,100,100,0.0369738753,47.4634887643,15.5205351222,1.0000000000,0.8000000000,250.0000000000
46,100,0,4,0,100,100,0,100,100,0.0349021597,47.4285866046,15.6805453983,1.0000000000,0.8000000000,250.0000000000
47,100,0,4,0,100,100,0,100,100,0.0336462218,47.3949403828,15.6805744177,1.0000000000,0.8000000000,250.0000000000
48,100,0,15,0,100,100,0,100,100,0.0598214724,47.3351189105,14.8005496427,1.0000000000,0.8000000000,250.0000000000
49,100,0,14,0,100,100,0,100,100,0.0569132187,47.2782056918,14.8805606877,1.0000000000,0.8000000000,250.0000000000
50,100,0,9,0,100,100,0,100,100,0.0475492415,47.2306564503,15.2805612658,1.0000000000,0.8000000000,250.0000000000
51,100,0,15,0,100,100,0,100,100,0.0653173816,47.1653390687,14.8005636914,1.0000000000,0.8000000000,250.0000000000
52,100,0,14,0,100,100,0,100,100,0.0599255343,47.1054135344,14.8805778921,1.0000000000,0.8000000000,250.0000000000
53,100,0,28,0,100,100,0,100,100,0.0963288613,47.0090846731,13.7605474744,1.0000000000,0.8000000000,250.0000000000
54,100,0,36,0,100,100,0,100,100,0.1075082992,46.9015763739,13.1205409231,1.0000000000,0.8000000000,250.0000000000
55,100,0,5,0,100,100,0,100,100,0.0356048005,46.8659715734,15.6005545759,1.0000000000,0.8000000000,250.0000000000
56,100,0,4,0,100,100,0,100,100,0.0345567721,46.8314148013,15.6805623269,1.0000000000,0.8000000000,250.0000000000
57,100,0,6,0,100,100,0,100,100,0.0395849519,46.7918298494,15.5205693234,1.0000000000,0.8000000000,250.0000000000
58,100,0,5,0,100,100,0,100,100,0.0407914508,46.7510383987,15.6005896945,1.0000000000,0.8000000000,250.0000000000
59,100,0,2,0,100,100,0,100,100,0.0325335857,46.7185048130,15.8405760071,1.0000000000,0.8000000000,250.0000000000
60,100,0,7,0,100,100,0,100,100,0.0392009129,46.6793039001,15.4405694179,1.0000000000,0.8000000000,250.0000000000
61,100,0,9,0,100,100,0,100,100,0.0456693682,46.6336345319,15.2805606206,1.0000000000,0.8000000000,250.0000000000
62,100,0,10,0,100,100,0,100,100,0.0487416891,46.5848928428,15.2005557967,1.0000000000,0.8000000000,250.0000000000
63,100,0,16,0,100,100,0,100,100,0.0577319830,46.5271608597,14.7205461058,1.0000000000,0.8000000000,250.0000000000
64,100,0,30,0,100,100,0,100,100,0.0978670185,46.4292938412,13.6005373179,1.0000000000,0.8000000000,250.0000000000
65,100,0,45,0,100,100,0,100,100,0.1214267431,46.3078670982,12.4005347730,1.0000000000,0.8000000000,250.0000000000
66,100,0,2,0,100,100,0,100,100,0.0318619259,46.2760051723,15.8406158849,1.0000000000,0.8000000000,250.0000000000
67,100,0,5,0,100,100,0,100,100,0.0375591381,46.2384460342,15.6005716437,1.0000000000,0.8000000000,250.0000000000
68,100,0,6,0,100,100,0,100,100,0.0401777957,46.1982682386,15.5206032568,1.0000000000,0.8000000000,250.0000000000
69,100,0,6,0,100,100,0,100,100,0.0400718834,46.1581963551,15.5205804650,1.0000000000,0.8000000000,250.0000000000
70,100,0,4,0,100,100,0,100,100,0.0358473444,46.1223490108,15.6805890214,1.0000000000,0.8000000000,250.0000000000
71,100,0,12,0,100,100,0,100,100,0.0517655261,46.0705834846,15.0405594575,1.0000000000,0.8000000000,250.0000000000
72,100,0,12,0,100,100,0,100,100,0.0538403619,46.0167431227,15.0405635671,1.0000000000,0.8000000000,250.0000000000
73,100,0,14,0,100,100,0,100,100,0.0533461493,45.9633969734,14.8805585166,1.0000000000,0.8000000000,250.0000000000
74,100,0,11,0,100,100,0,100,100,0.0545300326,45.9088669408,15.1205671313,1.0000000000,0.8000000000,250.0000000000
75,100,0,27,0,100,100,0,100,100,0.0807263987,45.8281405421,13.8405368586,1.0000000000,0.8000000000,250.0000000000
76,100,0,38,0,100,100,0,100,100,0.1055016230,45.7226389191,12.9605371754,1.0000000000,0.8000000000,250.0000000000
77,100,0,2,0,100,100,0,100,100,0.0356015025,45.6870374167,15.8406690179,1.0000000000,0.8000000000,250.0000000000
78,100,0,7,0,100,100,0,100,100,0.0404376744,45.6465997423,15.4405521955,1.0000000000,0.8000000000,250.0000000000
79,100,0,1,0,100,100,0,100,100,0.0410396857,45.6055600566,15.9206000274,1.0000000000,0.8000000000,250.0000000000
80,100,0,11,0,100,100,0,100,100,0.0481232724,45.5574367842,15.1205642056,1.0000000000,0.8000000000,250.0000000000
81,100,0,7,0,100,100,0,100,100,0.0440061003,45.5134306839,15.4405880429,1.0000000000,0.8000000000,250.0000000000
82,100,0,9,0,100,100,0,100,100,0.0490370731,45.4643936108,15.2805827521,1.0000000000,0.8000000000,250.0000000000
83,100,0,11,0,100,100,0,100,100,0.0488785603,45.4155150505,15.1205492954,1.0000000000,0.8000000000,250.0000000000
84,100,0,17,0,100,100,0,100,100,0.0624099391,45.3531051114,14.6405503869,1.0000000000,0.8000000000,250.0000000000
85,100,0,15,0,100,100,0,100,100,0.0569077125,45.2961973990,14.8005501147,1.0000000000,0.8000000000,250.0000000000
86,100,0,18,0,100,100,0,100,100,0.0583903292,45.2378070698,14.5605474258,1.0000000000,0.8000000000,250.0000000000
87,100,0,41,0,100,100,0,100,100,0.1168037066,45.1210033632,12.7205378501,1.0000000000,0.8000000000,250.0000000000
88,100,0,4,0,100,100,0,100,100,0.0338229623,45.0871804009,15.6805597329,1.0000000000,0.8000000000,250.0000000000
89,100,0,2,0,100,100,0,100,100,0.0334068817,45.0537735192,15.8405998687,1.0000000000,0.8000000000,250.0000000000
90,100,0,5,0,100,100,0,100,100,0.0364310733,45.0173424459,15.6005470175,1.0000000000,0.8000000000,250.0000000000
91,100,0,6,0,100,100,0,100,100,0.0413626775,44.9759797684,15.5205671945,1.0000000000,0.8000000000,250.0000000000
92,100,0,6,0,100,100,0,100,100,0.0410608534,44.9349189150,15.5205907524,1.0000000000,0.8000000000,250.0000000000
93,100,0,10,0,100,100,0,100,100,0.0475182730,44.8874006420,15.2005628919,1.0000000000,0.8000000000,250.0000000000
94,100,0,7,0,100,100,0,100,100,0.0395356877,44.8478649543,15.4405574325,1.0000000000,0.8000000000,250.0000000000
95,100,0,14,0,100,100,0,100,100,0.0627387061,44.7851262482,14.8805604291,1.0000000000,0.8000000000,250.0000000000
96,100,0,14,0,100,100,0,100,100,0.0540271210,44.7310991273,14.8805537287,1.0000000000,0.8000000000,250.0000000000
97,100,0,18,0,100,100,0,100,100,0.0654571506,44.6656419767,14.5605507452,1.0000000000,0.8000000000,250.0000000000
98,100,0,33,0,100,100,0,100,100,0.0939109209,44.5717310557,13.3605380521,1.0000000000,0.8000000000,250.0000000000
99,100,0,6,0,100,100,0,100,100,0.0386160074,44.5331150483,15.5205741891,1.0000000000,0.8000000000,250.0000000000
100,100,0,3,0,100,100,0,100,100,0.0346994170,44.4984156313,15.7605494341,1.0000000000,0.8000000000,250.0000000000
101,100,0,3,0,100,100,0,100,100,0.0323375237,44.4660781076,15.7605749963,1.0000000000,0.8000000000,250.0000000000
102,100,0,6,0,100,100,0,100,100,0.0416783577,44.4243997499,15.5205982794,1.0000000000,0.8000000000,250.0000000000
103,100,0,10,0,100,100,0,100,100,0.0483325900,44.3760671600,15.2005485914,1.0000000000,0.8000000000,250.0000000000
104,100,0,9,0,100,100,0,100,100,0.0496348950,44.3264322650,15.2805602567,1.0000000000,0.8000000000,250.0000000000
105,100,0,12,0,100,100,0,100,100,0.0518575654,44.2745746995,15.0405662133,1.0000000000,0.8000000000,250.0000000000
106,100,0,10,0,100,100,0,100,100,0.0464182073,44.2281564923,15.2005749756,1.0000000000,0.8000000000,250.0000000000
107,100,0,14,0,100,100,0,100,100,0.0550212852,44.1731352071,14.8805501116,1.0000000000,0.8000000000,250.0000000000
108,100,0,15,0,100,100,0,100,100,0.0594839016,44.1136513055,14.8005557043,1.0000000000,0.8000000000,250.0000000000
109,100,0,25,0,100,100,0,100,100,0.0762252698,44.0374260357,14.0005379921,1.0000000000,0.8000000000,250.0000000000
110,100,0,2,0,100,100,0,100,100,0.0312567654,44.0061692703,15.8405689726,1.0000000000,0.8000000000,250.0000000000
111,100,0,7,0,100,100,0,100,100,0.0405634027,43.9656058676,15.4405595838,1.0000000000,0.8000000000,250.0000000000
112,100,0,1,0,100,100,0,100,100,0.0409320031,43.9246738645,15.9208542689,1.0000000000,0.8000000000,250.0000000000
113,100,0,4,0,100,100,0,100,100,0.0360831646,43.8885906999,15.6805990335,1.0000000000,0.8000000000,250.0000000000
114,100,0,5,0,100,100,0,100,100,0.0359579412,43.8526327587,15.6005704008,1.0000000000,0.8000000000,250.0000000000
115,100,0,4,0,100,100,0,100,100,0.0371559076,43.8154768512,15.6805978270,1.0000000000,0.8000000000,250.0000000000
116,100,0,9,0,100,100,0,100,100,0.0423274058,43.7731494453,15.2805446890,1.0000000000,0.8000000000,250.0000000000
117,100,0,13,0,100,100,0,100,100,0.0587194005,43.7144300448,14.9605619597,1.0000000000,0.8000000000,250.0000000000
118,100,0,7,0,100,100,0,100,100,0.0399798732,43.6744501715,15.4405585909,1.0000000000,0.8000000000,250.0000000000
119,100,0,23,0,100,100,0,100,100,0.0687376934,43.6057124781,14.1605455053,1.0000000000,0.8000000000,250.0000000000
120,100,0,33,0,100,100,0,100,100,0.1068440357,43.4988684424,13.3605424477,1.0000000000,0.8000000000,250.0000000000
121,100,0,4,0,100,100,0,100,100,0.0364232002,43.4624452423,15.6805936025,1.0000000000,0.8000000000,250.0000000000
122,100,0,5,0,100,100,0,100,100,0.0368636011,43.4255816411,15.6005729465,1.0000000000,0.8000000000,250.0000000000
123,100,0,6,0,100,100,0,100,100,0.0376619080,43.3879197331,15.5205520389,1.0000000000,0.8000000000,250.0000000000
124,100,0,7,0,100,100,0,100,100,0.0390283997,43.3488913334,15.4405707532,1.0000000000,0.8000000000,250.0000000000
125,100,0,5,0,100,100,0,100,100,0.0381493138,43.3107420196,15.6005908457,1.0000000000,0.8000000000,250.0000000000
126,100,0,9,0,100,100,0,100,100,0.0483954440,43.2623465756,15.2805781423,1.0000000000,0.8000000000,250.0000000000
127,100,0,4,0,100,100,0,100,100,0.0350200793,43.2273264963,15.6805644882,1.0000000000,0.8000000000,250.0000000000
128,100,0,15,0,100,100,0,100,100,0.0599581856,43.1673683107,14.8005510994,1.0000000000,0.8000000000,250.0000000000
