Round,Alive,Dead,CH_Count,FallbackUsed,Generated,Delivered,Lost,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
44,100,0,4,0,100,100,0,100,100,0.0357410881,47.9080281620,15.6805681850,1.0000000000,0.8000000000,250.0000000000
45,100,0,3,0,100,100,0,100,100,0.0327644138,47.8752637482,15.7605749166,1.0000000000,0.8000000000,250.0000000000
46,100,0,4,0,100,100,0,100,100,0.0343433631,47.8409203850,15.6805583718,1.0000000000,0.8000000000,250.0000000000
47,100,0,13,0,100,100,0,100,100,0.0516620617,47.7892583233,14.9605484856,1.0000000000,0.8000000000,250.0000000000
48,100,0,9,0,100,100,0,100,100,0.0534587025,47.7357996208,15.2805776237,1.0000000000,0.8000000000,250.0000000000
49,100,0,13,0,100,100,0,100,100,0.0579614489,47.6778381719,14.9605700982,1.0000000000,0.8000000000,250.0000000000
50,100,0,1,1,100,100,0,100,100,0.0413252605,47.6365129114,15.9206165664,1.0000000000,0.8000000000,250.0000000000
51,100,0,3,0,100,100,0,100,100,0.0327232272,47.6037896842,15.7605563587,1.0000000000,0.8000000000,250.0000000000
52,100,0,3,0,100,100,0,100,100,0.0357444318,47.5680452524,15.7606333871,1.0000000000,0.8000000000,250.0000000000
53,100,0,8,0,100,100,0,100,100,0.0430132731,47.5250319793,15.3605601529,1.0000000000,0.8000000000,250.0000000000
54,100,0,16,0,100,100,0,100,100,0.0706828016,47.4543491776,14.7205517683,1.0000000000,0.8000000000,250.0000000000
55,100,0,6,0,100,100,0,100,100,0.0398104739,47.4145387037,15.5205775656,1.0000000000,0.8000000000,250.0000000000
56,100,0,5,0,100,100,0,100,100,0.0356954641,47.3788432396,15.6005586660,1.0000000000,0.8000000000,250.0000000000
57,100,0,4,0,100,100,0,100,100,0.0363798614,47.3424633782,15.6805880763,1.0000000000,0.8000000000,250.0000000000
58,100,0,5,0,100,100,0,100,100,0.0364433567,47.3060200215,15.6005578476,1.0000000000,0.8000000000,250.0000000000
59,100,0,4,0,100,100,0,100,100,0.0358863233,47.2701336982,15.6805921840,1.0000000000,0.8000000000,250.0000000000
60,100,0,2,0,100,100,0,100,100,0.0374472453,47.2326864529,15.8407628158,1.0000000000,0.8000000000,250.0000000000
61,100,0,13,0,100,100,0,100,100,0.0587071754,47.1739792775,14.9605541685,1.0000000000,0.8000000000,250.0000000000
62,100,0,9,0,100,100,0,100,100,0.0439577850,47.1300214925,15.2805529762,1.0000000000,0.8000000000,250.0000000000
63,100,0,14,0,100,100,0,100,100,0.0613717078,47.0686497847,14.8805546527,1.0000000000,0.8000000000,250.0000000000
64,100,0,15,0,100,100,0,100,100,0.0699846656,46.9986651191,14.8005736158,1.0000000000,0.8000000000,250.0000000000
65,100,0,10,0,100,100,0,100,100,0.0470545612,46.9516105578,15.2005638776,1.0000000000,0.8000000000,250.0000000000
66,100,0,1,0,100,100,0,100,100,0.0309265577,46.9206840002,15.9206018499,1.0000000000,0.8000000000,250.0000000000
67,100,0,2,0,100,100,0,100,100,0.0334831404,46.8872008598,15.8406429542,1.0000000000,0.8000000000,250.0000000000
68,100,0,1,1,100,100,0,100,100,0.0308228432,46.8563780167,15.9205922378,1.0000000000,0.8000000000,250.0000000000
69,100,0,1,1,100,100,0,100,100,0.0382573686,46.8181206481,15.9205879057,1.0000000000,0.8000000000,250.0000000000
70,100,0,1,0,100,100,0,100,100,0.0310127500,46.7871078981,15.9206404831,1.0000000000,0.8000000000,250.0000000000
71,100,0,5,0,100,100,0,100,100,0.0349815235,46.7521263746,15.6005569911,1.0000000000,0.8000000000,250.0000000000
72,100,0,15,0,100,100,0,100,100,0.0558965521,46.6962298225,14.8005456305,1.0000000000,0.8000000000,250.0000000000
73,100,0,8,0,100,100,0,100,100,0.0415186904,46.6547111321,15.3605614351,1.0000000000,0.8000000000,250.0000000000
74,100,0,12,0,100,100,0,100,100,0.0536070521,46.6011040799,15.0405607803,1.0000000000,0.8000000000,250.0000000000
75,100,0,12,0,100,100,0,100,100,0.0561224686,46.5449816114,15.0405599025,1.0000000000,0.8000000000,250.0000000000
76,100,0,11,0,100,100,0,100,100,0.0610063795,46.4839752319,15.1205841330,1.0000000000,0.8000000000,250.0000000000
77,100,0,1,0,100,100,0,100,100,0.0309148192,46.4530604126,15.9206165884,1.0000000000,0.8000000000,250.0000000000
