Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
616,100,0,1,100,100,0,0,101,297,100,100,0.0427954737,28.4448339138,100.0000000000,15.9208792373,1.0000000000,0.8808000000,227.0663033606
617,100,0,2,100,100,0,0,102,394,101,101,0.0316736450,28.4131602688,50.0000000000,20.1607314240,1.0000000000,0.8896000000,224.8201438849
618,100,0,2,100,100,0,0,102,394,101,101,0.0354338689,28.3777264000,50.0000000000,19.6008423036,1.0000000000,0.8896000000,224.8201438849
619,100,0,5,100,100,0,0,105,685,104,104,0.0351805059,28.3425458941,20.0000000000,21.2006327165,1.0000000000,0.9160000000,218.3406113537
620,100,0,1,100,100,0,0,101,297,100,100,0.0409320031,28.3016138909,100.0000000000,15.9208542689,1.0000000000,0.8808000000,227.0663033606
621,100,0,1,100,100,0,0,101,297,100,100,0.0356030968,28.2660107941,100.0000000000,15.9205750875,1.0000000000,0.8808000000,227.0663033606
622,100,0,1,100,100,0,0,101,297,100,100,0.0314357913,28.2345750028,100.0000000000,15.9206213107,1.0000000000,0.8808000000,227.0663033606
623,100,0,1,100,100,0,0,101,297,100,100,0.0389456797,28.1956293231,100.0000000000,15.9206159815,1.0000000000,0.8808000000,227.0663033606
624,100,0,1,100,100,0,0,101,297,100,100,0.0347332094,28.1608961137,100.0000000000,15.9206611141,1.0000000000,0.8808000000,227.0663033606
625,100,0,1,100,100,0,0,101,297,100,100,0.0312431902,28.1296529235,100.0000000000,15.9206850647,1.0000000000,0.8808000000,227.0663033606
626,100,0,2,100,100,0,0,102,394,101,101,0.0323998239,28.0972530996,50.0000000000,19.9205870263,1.0000000000,0.8896000000,224.8201438849
627,100,0,2,100,100,0,0,102,394,101,101,0.0299114064,28.0673416932,50.0000000000,20.4006144686,1.0000000000,0.8896000000,224.8201438849
628,100,0,1,100,100,0,0,101,297,100,100,0.0391965338,28.0281451594,100.0000000000,15.9208433420,1.0000000000,0.8808000000,227.0663033606
