Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected,Proactive_Handovers,Direct_To_BS
1445,99,1,1,99,98,1,0,0,0,0,98,98,0.0247902186,4.7683854931,99.0000000000,16.0463062383,0.9898989899,0.7902720000,250.0000000000,0,0,0,0
1446,99,1,1,99,98,1,0,1,100,294,98,98,0.0328741035,4.7355113896,99.0000000000,16.0462469874,0.9898989899,0.8702720000,227.0186792175,0,0,0,0
1447,99,1,1,99,98,1,0,0,0,0,98,98,0.0271878156,4.7083235740,99.0000000000,16.0462469874,0.9898989899,0.7902720000,250.0000000000,0,0,0,0
1448,99,1,1,99,98,1,0,0,0,0,98,98,0.0271878156,4.6811357584,99.0000000000,16.0462469874,0.9898989899,0.7902720000,250.0000000000,0,0,0,0
1449,99,1,1,99,98,1,0,0,0,0,98,98,0.0271878156,4.6539479428,99.0000000000,16.0462469874,0.9898989899,0.7902720000,250.0000000000,0,0,0,0
1450,99,1,1,99,98,1,0,0,0,0,98,98,0.0271878156,4.6267601272,99.0000000000,16.0462469874,0.9898989899,0.7902720000,250.0000000000,0,0,0,0
1451,99,1,2,99,98,1,0,1,101,390,98,98,0.0314957170,4.5952644103,49.5000000000,15.9640160399,0.9898989899,0.8710720000,226.8101833144,0,0,0,0
1452,99,1,2,99,98,1,0,0,0,0,98,98,0.0251134141,4.5701509961,49.5000000000,15.9640160399,0.9898989899,0.7902720000,250.0000000000,0,0,0,0
1453,99,1,2,99,98,1,0,0,0,0,98,98,0.0251134141,4.5450375820,49.5000000000,15.9640160399,0.9898989899,0.7902720000,250.0000000000,0,0,0,0
1454,99,1,2,99,98,1,0,0,0,0,98,98,0.0251134141,4.5199241679,49.5000000000,15.9640160399,0.9898989899,0.7902720000,250.0000000000,0,0,0,0
1455,99,1,2,99,98,1,0,0,0,0,98,98,0.0251134141,4.4948107538,49.5000000000,15.9640160399,0.9898989899,0.7902720000,250.0000000000,0,0,0,0
1456,99,1,1,99,98,1,0,1,100,294,98,98,0.0302484329,4.4645623210,99.0000000000,16.0463258972,0.9898989899,0.8702720000,227.0186792175,0,0,0,0
1457,99,1,1,99,98,1,0,0,0,0,98,98,0.0248994562,4.4396628648,99.0000000000,16.0463258972,0.9898989899,0.7902720000,250.0000000000,0,0,0,0
1458,99,1,1,99,98,1,0,0,0,0,98,98,0.0248994562,4.4147634086,99.0000000000,16.0463258972,0.9898989899,0.7902720000,250.0000000000,0,0,0,0
1459,99,1,1,99,98,1,0,0,0,0,98,98,0.0248994562,4.3898639524,99.0000000000,16.0463258972,0.9898989899,0.7902720000,250.0000000000,0,0,0,0
1460,99,1,1,99,98,1,0,0,0,0,98,98,0.0248994562,4.3649644962,99.0000000000,16.0463258972,0.9898989899,0.7902720000,250.0000000000,0,0,0,0
1461,98,2,2,98,98,0,0,1,100,386,98,98,0.0326237409,4.3323407553,49.0000000000,15.9640554322,1.0000000000,0.8702720000,227.0186792175,0,0,0,0
1462,98,2,2,98,97,1,0,0,0,0,97,97,0.0260534226,4.3062873327,49.0000000000,15.9623581504,0.9897959184,0.7822080000,250.0000000000,0,0,0,0
1463,98,2,2,98,97,1,0,0,0,0,97,97,0.0260534226,4.2802339101,49.0000000000,15.9623581504,0.9897959184,0.7822080000,250.0000000000,0,0,0,0
1464,98,2,2,98,97,1,0,0,0,0,97,97,0.0260534226,4.2541804876,49.0000000000,15.9623581504,0.9897959184,0.7822080000,250.0000000000,0,0,0,0
1465,98,2,2,98,97,1,0,0,0,0,97,97,0.0260534226,4.2281270650,49.0000000000,15.9623581504,0.9897959184,0.7822080000,250.0000000000,0,0,0,0
1466,98,2,1,98,97,1,0,1,99,291,97,97,0.0331532999,4.1949737651,98.0000000000,16.0455932809,0.9897959184,0.8614080000,227.0143764627,0,0,0,0
1467,98,2,1,98,97,1,0,0,0,0,97,97,0.0276590114,4.1673147536,98.0000000000,16.0455932809,0.9897959184,0.7822080000,250.0000000000,0,0,0,0
1468,98,2,1,98,96,2,0,0,0,0,96,96,0.0274258673,4.1398888863,98.0000000000,16.0447277733,0.9795918367,0.7741440000,250.0000000000,0,0,0,0
1469,98,2,1,98,96,2,0,0,0,0,96,96,0.0274258673,4.1124630189,98.0000000000,16.0447277733,0.9795918367,0.7741440000,250.0000000000,0,0,0,0
1470,98,2,1,98,96,2,0,0,1,96,96,96,0.0323143152,4.0801487037,98.0000000000,16.0446024454,0.9795918367,0.7749440000,249.7419168353,0,0,1,0
1471,97,3,1,97,96,1,0,1,98,288,96,96,0.0316860492,4.0484626546,97.0000000000,16.0445837435,0.9896907216,0.8525440000,227.0099842354,0,0,0,0
1472,97,3,1,97,95,2,0,0,0,0,95,95,0.0259661943,4.0224964603,97.0000000000,16.0437001465,0.9793814433,0.7660800000,250.0000000000,0,0,0,0
1473,97,3,1,97,95,2,0,0,0,0,95,95,0.0259661943,3.9965302659,97.0000000000,16.0437001465,0.9793814433,0.7660800000,250.0000000000,0,0,0,0
1474,97,3,1,97,95,2,0,0,0,0,95,95,0.0259661943,3.9705640716,97.0000000000,16.0437001465,0.9793814433,0.7660800000,250.0000000000,0,0,0,0
1475,97,3,1,97,95,2,0,0,0,0,95,95,0.0259661943,3.9445978773,97.0000000000,16.0437001465,0.9793814433,0.7660800000,250.0000000000,0,0,0,0
1476,96,4,1,96,95,1,0,1,97,285,95,95,0.0369964325,3.9076014448,96.0000000000,16.0437183790,0.9895833333,0.8436800000,227.0054997155,0,0,0,0
1477,96,4,1,96,95,1,0,0,0,0,95,95,0.0310166282,3.8765848165,96.0000000000,16.0437183790,0.9895833333,0.7660800000,250.0000000000,0,0,0,0
