Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected
1,100,0,6,100,100,0,0,1,106,782,100,100,0.0314234512,49.9520715488,16.6666666667,15.5202230743,1.0000000000,0.8848000000,226.0397830018,0,0
2,100,0,6,100,100,0,0,0,0,0,100,100,0.0217930601,49.9302784887,16.6666666667,15.5202230743,1.0000000000,0.8000000000,250.0000000000,0,0
3,100,0,6,100,100,0,0,0,0,0,100,100,0.0217930601,49.9084854286,16.6666666667,15.5202230743,1.0000000000,0.8000000000,250.0000000000,0,0
4,100,0,6,100,100,0,0,0,0,0,100,100,0.0217930601,49.8866923685,16.6666666667,15.5202230743,1.0000000000,0.8000000000,250.0000000000,0,0
5,100,0,6,100,100,0,0,0,0,0,100,100,0.0217930601,49.8648993084,16.6666666667,15.5202230743,1.0000000000,0.8000000000,250.0000000000,0,0
6,100,0,8,100,100,0,0,1,108,976,100,100,0.0333058174,49.8315934910,12.5000000000,15.3601757033,1.0000000000,0.8864000000,225.6317689531,0,0
7,100,0,8,100,100,0,0,0,0,0,100,100,0.0215074531,49.8100860379,12.5000000000,15.3601757033,1.0000000000,0.8000000000,250.0000000000,0,0
8,100,0,8,100,100,0,0,0,0,0,100,100,0.0215074531,49.7885785848,12.5000000000,15.3601757033,1.0000000000,0.8000000000,250.0000000000,0,0
9,100,0,8,100,100,0,0,0,0,0,100,100,0.0215074531,49.7670711318,12.5000000000,15.3601757033,1.0000000000,0.8000000000,250.0000000000,0,0
10,100,0,8,100,100,0,0,0,0,0,100,100,0.0215074531,49.7455636787,12.5000000000,15.3601757033,1.0000000000,0.8000000000,250.0000000000,0,0
11,100,0,6,100,100,0,0,1,106,782,100,100,0.0315225081,49.7140411705,16.6666666667,15.5202172856,1.0000000000,0.8848000000,226.0397830018,0,0
12,100,0,6,100,100,0,0,0,0,0,100,100,0.0218769323,49.6921642383,16.6666666667,15.5202172856,1.0000000000,0.8000000000,250.0000000000,0,0
13,100,0,6,100,100,0,0,0,0,0,100,100,0.0218769323,49.6702873060,16.6666666667,15.5202172856,1.0000000000,0.8000000000,250.0000000000,0,0
14,100,0,6,100,100,0,0,0,0,0,100,100,0.0218769323,49.6484103737,16.6666666667,15.5202172856,1.0000000000,0.8000000000,250.0000000000,0,0
15,100,0,6,100,100,0,0,0,0,0,100,100,0.0218769323,49.6265334414,16.6666666667,15.5202172856,1.0000000000,0.8000000000,250.0000000000,0,0
16,100,0,8,100,100,0,0,1,108,976,100,100,0.0337036673,49.5928297742,12.5000000000,15.3601585403,1.0000000000,0.8864000000,225.6317689531,0,0
17,100,0,8,100,100,0,0,0,0,0,100,100,0.0218664685,49.5709633056,12.5000000000,15.3601585403,1.0000000000,0.8000000000,250.0000000000,0,0
18,100,0,8,100,100,0,0,0,0,0,100,100,0.0218664685,49.5490968371,12.5000000000,15.3601585403,1.0000000000,0.8000000000,250.0000000000,0,0
19,100,0,8,100,100,0,0,0,0,0,100,100,0.0218664685,49.5272303686,12.5000000000,15.3601585403,1.0000000000,0.8000000000,250.0000000000,0,0
20,100,0,8,100,100,0,0,0,0,0,100,100,0.0218664685,49.5053639001,12.5000000000,15.3601585403,1.0000000000,0.8000000000,250.0000000000,0,0
